"time","bc_comd","compre","ossk","tcapa","tcapre"
1991,97,-10.5,7.1,12.4,
1991.08333333333,86.3,-23.1,23.8,7.3,
1991.16666666667,91.4,-23.1,20.8,-22.5,
1991.25,93.8,-15.3,11.7,-22.6,
1991.33333333333,92,-13.1,10.3,-15.3,
1991.41666666667,91.8,-12.1,11.7,-16.5,
1991.5,88.9,-16.5,11.6,-24.2,
1991.58333333333,91.3,-13.7,10.5,-14,
1991.66666666667,93.1,-11.5,10.2,-3.5,
1991.75,87.4,-16.9,10.3,-22,
1991.83333333333,87.7,-17.8,7.6,-22.9,
1991.91666666667,91.5,-16.4,14,-1.7,
1992,88.2,-21.1,14.5,-17.8,
1992.08333333333,91.2,-14.1,2.3,-9.2,
1992.16666666667,92.4,-14.7,4.9,9.3,
1992.25,88.3,-16.9,9.2,-10,
1992.33333333333,88.4,-16.2,1.9,-18.7,
1992.41666666667,92,-14.4,4.7,-0.7,
1992.5,88.6,-18.2,7.1,-25.9,
1992.58333333333,87,-17.1,4.8,-28.5,
1992.66666666667,85.1,-16.5,3.2,-30.9,
1992.75,86.1,-18.4,4.5,-20.3,
1992.83333333333,85.6,-18.4,1.9,-3.6,
1992.91666666667,78.3,-30.1,5.9,-28.3,
1993,77.3,-32.2,10.1,-34.9,
1993.08333333333,80.9,-28.3,-6.8,-13.7,
1993.16666666667,87.6,-7.3,0.4,-40.3,
1993.25,89.5,-17.6,-0.2,-19.2,
1993.33333333333,87.6,-17.8,-1,-7,
1993.41666666667,75.2,-28.4,-3.2,-44,
1993.5,80.7,-22.9,-4,-24.8,
1993.58333333333,82.2,-19.9,-4.3,-30.3,
1993.66666666667,83.3,-17.3,-4,-35.8,
1993.75,85.1,-17.4,1.9,-27,
1993.83333333333,87.9,-17.6,0.8,-15.2,
1993.91666666667,89.7,-18.2,16.4,-26.6,
1994,93.3,-17.6,17.9,-9,
1994.08333333333,92.8,-15.7,-0.5,-14.8,
1994.16666666667,93.2,-16.2,16.7,-11.1,
1994.25,95.5,-14.7,2.8,-1.2,
1994.33333333333,95.4,-16.3,3.9,-3.8,
1994.41666666667,94.1,-16.3,10.9,-17.1,
1994.5,95.3,-18.2,8.4,-6.5,
1994.58333333333,98.9,-13,6.6,-7.6,
1994.66666666667,102.3,-7.9,5.3,-8.5,
1994.75,106.4,-5.2,5.6,7.1,
1994.83333333333,103.4,-7.4,15.6,-6.7,
1994.91666666667,100.7,-9.8,9.6,-16,
1995,103.4,-11.7,4.5,12.4,
1995.08333333333,104.5,-6.2,4.2,12.9,
1995.16666666667,103.4,-6.6,1.8,16.9,
1995.25,102.9,-9.2,7.4,12,
1995.33333333333,102.7,-12.6,5.4,10.5,
1995.41666666667,105,-7.3,11.2,5.2,
1995.5,103.8,-10.4,17.4,-6.1,
1995.58333333333,102.6,-8.9,12.4,-3.8,
1995.66666666667,101.1,-7.2,7.7,-1.8,
1995.75,94.5,-15,9.3,-6.6,
1995.83333333333,92.2,-9.2,12,-38.1,
1995.91666666667,90.5,-12.5,27.5,-32.7,
1996,92.1,-16.6,10.9,-8.9,
1996.08333333333,91.3,-18.7,13.4,-12.8,
1996.16666666667,98.9,-8.5,9,3.6,
1996.25,96.8,-12.9,10.7,-7,
1996.33333333333,93.1,-15.7,16.1,-24.6,
1996.41666666667,90.1,-18.7,15.1,-28.7,
1996.5,91.9,-16.9,13.1,-23.2,
1996.58333333333,90,-18.6,12,-22.9,
1996.66666666667,87.9,-19.8,11.2,-22.6,
1996.75,83.5,-25.4,9.5,-39.4,
1996.83333333333,88.8,-16.2,12.6,-40.1,
1996.91666666667,91.9,-17.9,3.5,-27.6,
1997,94.4,-13.3,6.6,-37,
1997.08333333333,95.3,-12.1,3.3,-34.3,
1997.16666666667,93.1,-16.1,10.2,-33.7,
1997.25,91.2,-20.4,13.4,-38.8,
1997.33333333333,93.2,-14.7,13.1,-30.7,
1997.41666666667,96.4,-16.6,9.4,-1.3,
1997.5,91.6,-20.6,16.6,-29.2,
1997.58333333333,94.8,-18.5,12.8,-21.7,
1997.66666666667,97.7,-16,9.1,-14.4,
1997.75,99.9,-12.1,9.6,-12.2,
1997.83333333333,105.3,-6,6.8,-2.1,
1997.91666666667,107.6,-8.8,13.3,12.1,
1998,106,-12.4,11.8,10.4,
1998.08333333333,111.1,-2.6,4.9,15.4,
1998.16666666667,107.7,-11.1,16.9,6.6,
1998.25,105.1,-9.9,11.3,-12,
1998.33333333333,107.4,-8.4,17.7,-14.8,
1998.41666666667,110.9,-8.5,12.2,4.1,
1998.5,112.8,-6.3,14.8,7,
1998.58333333333,111.3,-8.3,17.5,3.4,
1998.66666666667,109.5,-10,20.2,-0.2,
1998.75,110.6,-4.6,10.3,-1.2,
1998.83333333333,107.7,-10.7,16,-11.3,
1998.91666666667,104.9,-16.2,15.4,-13.4,
1999,106.2,-7.9,11.4,-18.7,
1999.08333333333,107.4,-7.6,4.7,-7.9,
1999.16666666667,109.6,-1.3,6.4,1.3,
1999.25,110,0.8,4.4,4.2,
1999.33333333333,109.1,-2.4,5.3,8.9,
1999.41666666667,107.1,-4.8,10.9,-12.3,
1999.5,109.3,-5.5,13.1,-7.2,
1999.58333333333,113.8,2.7,11.8,-9.8,
1999.66666666667,118,10.9,10.6,-12.5,
1999.75,120.7,14.4,15.4,-24.3,
1999.83333333333,117.9,1.8,11.5,-10.2,
1999.91666666667,123.4,9.4,11.3,0.2,
2000,114.9,-3.5,18.1,3.5,
2000.08333333333,115,-5,8.5,-0.3,
2000.16666666667,118.5,2.5,8.9,8.1,
2000.25,120.5,5.4,13.3,2.6,
2000.33333333333,116.4,-2.3,11,-4.8,
2000.41666666667,115.1,-5.7,11.2,0.8,
2000.5,120.8,6.4,14.8,3.1,
2000.58333333333,120.3,6.2,13.1,-1.2,
2000.66666666667,119.5,5.9,11.3,-5.3,
2000.75,117.1,2,13.6,-7.4,
2000.83333333333,113.1,-4.1,21.4,-10.9,
2000.91666666667,113.2,-6.5,18.7,-8.3,
2001,113.2,-6.3,12,7.9,
2001.08333333333,114.7,-4.2,15.9,8,
2001.16666666667,113.9,-3.3,9.4,1.6,
2001.25,109.6,-7.1,18,-6,
2001.33333333333,110.1,-6.5,19.5,-11.4,
2001.41666666667,110.4,-5.9,14.3,-5.6,
2001.5,104.1,-12.3,12.8,-4.6,
2001.58333333333,103.5,-11.6,14.2,-1.7,
2001.66666666667,102.6,-11.3,15.7,1.3,
2001.75,100.6,-12.4,9.1,-4.5,
2001.83333333333,101.8,-8.4,11.2,-11.1,
2001.91666666667,103.4,-9.3,17.1,-13,
2002,104.5,-6.8,7.2,1.6,
2002.08333333333,101.6,-7,8.4,-7.3,
2002.16666666667,102.5,-6.7,11.9,-15.7,
2002.25,103.3,-8.7,13.2,-13.5,
2002.33333333333,103.8,-7.9,9.1,-10.2,
2002.41666666667,105.6,-9.1,17,-12.1,
