"time","bc_fr","ec_fr"
1977,98.7,
1977.08333333333,101.3,
1977.16666666667,98.3,
1977.25,94.4,
1977.33333333333,91.5,
1977.41666666667,93.9,
1977.5,94.6,
1977.58333333333,94.9,
1977.66666666667,95.4,
1977.75,94.1,
1977.83333333333,91.4,
1977.91666666667,89.8,
1978,92.2,
1978.08333333333,91.5,
1978.16666666667,96.3,
1978.25,107.1,
1978.33333333333,106.1,
1978.41666666667,103.7,
1978.5,101.7,
1978.58333333333,103,
1978.66666666667,104.4,
1978.75,103.3,
1978.83333333333,105.4,
1978.91666666667,107.1,
1979,104.8,
1979.08333333333,102.8,
1979.16666666667,103.2,
1979.25,105,
1979.33333333333,105.1,
1979.41666666667,105.4,
1979.5,109.2,
1979.58333333333,109,
1979.66666666667,109.1,
1979.75,112.5,
1979.83333333333,113.7,
1979.91666666667,113.1,
1980,107.4,
1980.08333333333,106.6,
1980.16666666667,109.5,
1980.25,106.3,
1980.33333333333,104.3,
1980.41666666667,101.1,
1980.5,93.6,
1980.58333333333,91.6,
1980.66666666667,94.2,
1980.75,90.7,
1980.83333333333,93.9,
1980.91666666667,90.3,
1981,89.3,
1981.08333333333,87.9,
1981.16666666667,86.1,
1981.25,87.7,
1981.33333333333,90.9,
1981.41666666667,89.3,
1981.5,90.5,
1981.58333333333,92.4,
1981.66666666667,93.3,
1981.75,92.5,
1981.83333333333,95.4,
1981.91666666667,96.7,
1982,101.8,
1982.08333333333,100.8,
1982.16666666667,95,
1982.25,94.8,
1982.33333333333,97.1,
1982.41666666667,96,
1982.5,90.2,
1982.58333333333,88,
1982.66666666667,82.3,
1982.75,83.2,
1982.83333333333,89,
1982.91666666667,91,
1983,89,
1983.08333333333,88.1,
1983.16666666667,87.6,
1983.25,82.6,
1983.33333333333,79.8,
1983.41666666667,80.4,
1983.5,79.1,
1983.58333333333,80.2,
1983.66666666667,78.2,
1983.75,82.3,
1983.83333333333,82.5,
1983.91666666667,81.3,
1984,85.6,
1984.08333333333,86.4,
1984.16666666667,87.3,
1984.25,86.3,
1984.33333333333,86,
1984.41666666667,86.5,
1984.5,91.9,
1984.58333333333,92.8,
1984.66666666667,92,
1984.75,91.7,
1984.83333333333,93.1,
1984.91666666667,92.7,
1985,90,
1985.08333333333,92.3,
1985.16666666667,95.2,
1985.25,96.7,
1985.33333333333,95.6,
1985.41666666667,99.6,
1985.5,97.7,
1985.58333333333,98,
1985.66666666667,102.7,
1985.75,101.4,
1985.83333333333,103.7,
1985.91666666667,105,
1986,104.4,
1986.08333333333,105.1,
1986.16666666667,108.1,
1986.25,106,
1986.33333333333,107.3,
1986.41666666667,103.6,
1986.5,104.2,
1986.58333333333,104.2,
1986.66666666667,104.9,
1986.75,102.8,
1986.83333333333,102.2,
1986.91666666667,101.3,
1987,101,
1987.08333333333,100.9,
1987.16666666667,98.6,
1987.25,102.3,
1987.33333333333,104.4,
1987.41666666667,103.1,
1987.5,105,
1987.58333333333,106.4,
1987.66666666667,109.1,
1987.75,109.8,
1987.83333333333,109.2,
1987.91666666667,109.2,
1988,112.3,
1988.08333333333,113.6,
1988.16666666667,112.9,
1988.25,110.6,
1988.33333333333,111.2,
1988.41666666667,112,
1988.5,114.2,
1988.58333333333,114.9,
1988.66666666667,116.1,
1988.75,114.1,
1988.83333333333,115,
1988.91666666667,116.4,
1989,117.7,
1989.08333333333,115.7,
1989.16666666667,116.9,
1989.25,117.4,
1989.33333333333,115.9,
1989.41666666667,115.9,
1989.5,115.6,
1989.58333333333,114.5,
1989.66666666667,115.9,
1989.75,115.8,
1989.83333333333,116.3,
1989.91666666667,114.8,
1990,115.6,
1990.08333333333,113.5,
1990.16666666667,111.5,
1990.25,110.9,
1990.33333333333,110.7,
1990.41666666667,108.9,
1990.5,110,
1990.58333333333,104.2,
1990.66666666667,103,
1990.75,102.1,
1990.83333333333,100.3,
1990.91666666667,98.9,
1991,95.8,102.9
1991.08333333333,85.7,101.1
1991.16666666667,94.8,99.3
1991.25,96.3,97.5
1991.33333333333,92.6,94.6
1991.41666666667,93.9,91.6
1991.5,92.3,88.7
1991.58333333333,93.1,89.1
1991.66666666667,94.7,89.5
1991.75,92.8,89.9
1991.83333333333,91.5,90.8
1991.91666666667,91.6,91.4
1992,91.5,92
1992.08333333333,94.9,91.1
1992.16666666667,94.7,90.1
1992.25,89.2,89.5
1992.33333333333,92.2,89.7
1992.41666666667,92,90.3
1992.5,88.2,90.9
1992.58333333333,84.9,89.1
1992.66666666667,82.8,87.2
1992.75,82.7,85
1992.83333333333,82,83.3
1992.91666666667,77.8,81.8
1993,78.2,80.3
1993.08333333333,77.1,80.8
1993.16666666667,76.3,81.3
1993.25,80.2,81.3
1993.33333333333,80.2,81.6
1993.41666666667,73.9,81.5
1993.5,79.9,81.4
1993.58333333333,81.6,82.5
1993.66666666667,83.5,83.5
1993.75,84.2,84.5
1993.83333333333,87.9,85.2
1993.91666666667,91.1,85.9
1994,92.3,86.7
1994.08333333333,93.4,88.9
1994.16666666667,97,91
1994.25,98.9,93.3
1994.33333333333,102.4,93.3
1994.41666666667,102.9,93.6
1994.5,103.2,93.9
1994.58333333333,106.1,96
1994.66666666667,108.7,98.3
1994.75,109,100.2
1994.83333333333,109.6,101.8
1994.91666666667,108,102.6
1995,108.8,103.5
1995.08333333333,106,102.1
1995.16666666667,107.2,101.3
1995.25,105.5,100.1
1995.33333333333,106.7,99
1995.41666666667,105.1,98
1995.5,105.6,97.3
1995.58333333333,102.2,98.8
1995.66666666667,99.8,100.5
1995.75,97.4,102.1
1995.83333333333,94.8,98.9
1995.91666666667,88.7,96.1
1996,89.8,93.2
1996.08333333333,90.9,93.6
1996.16666666667,94,94
1996.25,94.6,94.3
1996.33333333333,91.2,94.3
1996.41666666667,90.1,94.2
1996.5,88.8,93.9
1996.58333333333,89.3,94
1996.66666666667,90.3,94.2
1996.75,90.7,93.9
1996.83333333333,91.8,94.4
1996.91666666667,93.8,95.8
1997,97.6,96.8
1997.08333333333,100,97.1
1997.16666666667,99.6,97.3
1997.25,98.3,97.1
1997.33333333333,96.9,97.2
1997.41666666667,98.8,97.9
1997.5,98.6,97.7
1997.58333333333,101.5,97.9
1997.66666666667,105.7,98.2
1997.75,103,98.3
1997.83333333333,106.2,99.3
1997.91666666667,108.9,100
1998,107.8,100.7
1998.08333333333,109.2,102.3
1998.16666666667,112.5,104.1
1998.25,110.2,105.6
1998.33333333333,112.1,106.5
1998.41666666667,113.9,107.4
1998.5,112.2,108.5
1998.58333333333,111.4,107
1998.66666666667,108.6,105.4
1998.75,105.5,104
1998.83333333333,104,103.5
1998.91666666667,100.5,102.8
1999,101.7,102
1999.08333333333,103.5,104.1
1999.16666666667,101,105.9
1999.25,103.5,107.7
1999.33333333333,106,108
1999.41666666667,105.6,108.3
1999.5,108.2,108.9
1999.58333333333,111.4,111
1999.66666666667,114.9,113.1
1999.75,117.4,115.2
1999.83333333333,119.2,116.1
1999.91666666667,120.9,116.8
2000,116.1,117.5
2000.08333333333,116.4,115
2000.16666666667,117,112.7
2000.25,115.8,110.6
2000.33333333333,115.4,114.4
2000.41666666667,116.8,118.7
2000.5,116.6,115
2000.58333333333,117.9,116.7
2000.66666666667,118.4,117.5
2000.75,116.9,117.9
2000.83333333333,114.9,119.8
2000.91666666667,114.6,118.6
2001,113,117.5
2001.08333333333,112.8,118.5
2001.16666666667,113.5,117.2
2001.25,108.3,115.8
2001.33333333333,105.8,111.6
2001.41666666667,104.8,110
2001.5,103,105.6
2001.58333333333,101.6,106.7
2001.66666666667,99.6,106.9
2001.75,95.9,108.1
2001.83333333333,95.7,102.2
2001.91666666667,96.6,103.3
2002,98,101.4
2002.08333333333,99.1,100.2
2002.16666666667,100.5,101.3
2002.25,103,106.9
2002.33333333333,103.4,103.7
2002.41666666667,102.5,101.7
2002.5,100.4,102.5
2002.58333333333,99.3,100.7
2002.66666666667,97.7,98
2002.75,96.9,93.9
2002.83333333333,98.6,97.2
2002.91666666667,99.7,95.8
2003,96.7,97.8
2003.08333333333,95.4,96.2
2003.16666666667,89.8,92.1
2003.25,87.3,90.7
2003.33333333333,92.4,89.7
2003.41666666667,93,93.3
2003.5,94.9,94.4
2003.58333333333,95.8,95.2
2003.66666666667,95.5,95.6
2003.75,95.7,95.7
2003.83333333333,98.8,95.1
2003.91666666667,100,98.5
2004,103.9,99
2004.08333333333,102.6,97.3
2004.16666666667,102.5,102.1
2004.25,102.8,101.8
2004.33333333333,103.5,105.1
2004.41666666667,102.9,101.5
2004.5,104.4,102.6
2004.58333333333,104.7,102.3
2004.66666666667,104.6,101.6
2004.75,105.3,103.3
2004.83333333333,103.4,103.7
