"time","bc_fr","ec_fr"
2012,93.7283,96.5623
2012.08333333333,94.0353,96.7589
2012.16666666667,94.1493,96.5672
2012.25,94.1063,96.1081
2012.33333333333,93.6403,95.5045
2012.41666666667,92.1925,94.1467
2012.5,90.8529,92.9554
2012.58333333333,89.5999,92.1623
2012.66666666667,88.5695,91.457
2012.75,87.9972,90.9562
2012.83333333333,87.7661,90.5794
2012.91666666667,87.535,90.0313
2013,87.2218,89.4214
2013.08333333333,86.7373,88.6873
2013.16666666667,86.2433,88.0151
2013.25,86.1271,87.4962
2013.33333333333,86.5773,87.5628
2013.41666666667,87.74,88.1096
2013.5,89.4194,88.9937
2013.58333333333,91.3071,90.2349
2013.66666666667,93.0303,91.2992
2013.75,94.1931,92.2561
2013.83333333333,94.8544,92.9724
2013.91666666667,95.1722,93.5339
2014,95.3848,94.0519
2014.08333333333,95.5012,94.5931
2014.16666666667,95.6062,95.0294
2014.25,95.5778,95.2623
2014.33333333333,95.2696,95.2824
2014.41666666667,94.7009,94.9459
2014.5,93.9987,94.5433
2014.58333333333,93.3376,94.0785
2014.66666666667,92.9082,93.7108
2014.75,92.8714,93.492
2014.83333333333,93.2519,93.5128
2014.91666666667,93.9163,93.6895
2015,94.838,93.9897
2015.08333333333,95.8926,94.5598
2015.16666666667,97.0701,95.2591
2015.25,98.2337,96.1911
2015.33333333333,99.3268,97.0577
2015.41666666667,100.4314,98.0001
2015.5,101.2359,98.7628
2015.58333333333,101.8955,99.3535
2015.66666666667,102.3391,99.8457
2015.75,102.6087,100.1462
2015.83333333333,102.7193,100.3196
2015.91666666667,102.8232,100.3634
2016,102.9411,100.2499
2016.08333333333,102.9852,100.1605
2016.16666666667,103.1363,100.2057
2016.25,103.187,100.4214
2016.33333333333,103.3719,101.0092
2016.41666666667,103.4072,101.7451
2016.5,103.454,102.671
2016.58333333333,103.5866,103.526
2016.66666666667,103.8233,104.2726
2016.75,104.1827,104.7712
2016.83333333333,104.6538,105.2111
2016.91666666667,105.2926,105.4589
2017,105.8484,105.6761
2017.08333333333,106.4014,106.0197
2017.16666666667,106.8888,106.2468
2017.25,107.4689,106.4577
2017.33333333333,108.0848,106.6405
2017.41666666667,108.7444,106.642
2017.5,109.5249,106.6347
2017.58333333333,110.2972,106.6403
2017.66666666667,110.9713,106.7847
2017.75,111.5407,107.1863
2017.83333333333,112.0103,107.6421
2017.91666666667,112.2604,108.1331
2018,112.228,108.6723
2018.08333333333,111.9179,109.0649
2018.16666666667,111.3808,109.1942
2018.25,110.7165,109.2382
2018.33333333333,109.9235,109.1924
2018.41666666667,109.2325,108.9198
2018.5,108.5873,108.395
2018.58333333333,107.8949,107.7575
2018.66666666667,107.1547,107.081
2018.75,106.3741,106.4836
2018.83333333333,105.7085,106.1038
2018.91666666667,105.1627,105.9596
2019,105.0097,106.1673
2019.08333333333,105.1536,106.4671
2019.16666666667,105.5248,106.6999
2019.25,105.9279,106.9182
2019.33333333333,106.2482,107.0286
2019.41666666667,106.4459,107.1543
2019.5,106.4505,107.2708
2019.58333333333,106.428,107.3875
2019.66666666667,106.7176,107.6485
2019.75,108.0177,109.1833
2019.83333333333,107.5858,108.8965
2019.91666666667,104.4785,105.6104
2020,99.6691,100.2114
2020.08333333333,92.423,91.4767
2020.16666666667,84.4029,81.4203
2020.25,78.0046,72.5365
2020.33333333333,76.4892,68.7428
2020.41666666667,78.4578,69.8786
2020.5,82.5682,74.6723
2020.58333333333,86.488,79.978
2020.66666666667,89.0756,84.3996
2020.75,90.6552,87.1187
2020.83333333333,89.6235,86.356
2020.91666666667,89.469,85.3556
2021,91.1161,85.7102
2021.08333333333,93.9287,87.3137
2021.16666666667,97.5952,90.5651
2021.25,101.8859,94.8019
2021.33333333333,106.2073,99.346
2021.41666666667,109.2116,103.3411
2021.5,111.5765,106.4875
2021.58333333333,112.47,108.4556
2021.66666666667,112.7933,109.6274
2021.75,112.6717,110.4552
2021.83333333333,111.8048,110.8239
2021.91666666667,111.0912,111.1986
2022,110.3556,111.5245
2022.08333333333,109.4723,111.7481
2022.16666666667,108.2903,111.6675
2022.25,107.0799,111.08
2022.33333333333,105.9178,110.446
2022.41666666667,105.0515,109.8147
2022.5,104.1209,109.1786
2022.58333333333,103.3613,108.8026
2022.66666666667,103.0085,108.8634
2022.75,102.7131,109.0544
2022.83333333333,102.5965,109.5753
2022.91666666667,102.6228,110.0019
2023,102.5995,110.1523
2023.08333333333,102.5318,110.0515
2023.16666666667,102.2807,109.3335
2023.25,101.8822,108.3876
2023.33333333333,101.368,107.3042
2023.41666666667,100.8329,105.9873
2023.5,100.3184,104.8263
2023.58333333333,99.8683,103.7451
2023.66666666667,99.4199,102.7902
2023.75,99.0553,101.9079
2023.83333333333,98.827,101.1711
2023.91666666667,98.7079,100.7117
2024,98.9452,100.6586
2024.08333333333,99.0701,100.6753
2024.16666666667,99.0656,100.4731
2024.25,98.9638,100.4456
2024.33333333333,98.5788,100.0223
2024.41666666667,98.0175,99.373
2024.5,97.3907,98.6856
2024.58333333333,96.9223,98.1159
2024.66666666667,96.8679,98.1932
2024.75,96.3685,97.7102
2024.83333333333,95.961,97.5421
2024.91666666667,95.8999,97.6432
2025,95.7099,97.5562
