"time","bc_fr","ec_fr"
2012,93.9818627450981,97.9021241830065
2012.08333333333,94.271,97.549125
2012.16666666667,94.3519230769231,97.0469017094017
2012.25,94.1229312063809,96.2680957128614
2012.33333333333,93.3079303675048,95.2641199226306
2012.41666666667,92.1146056475171,94.1643622200584
2012.5,90.7336,92.9374
2012.58333333333,89.4182,92.1242
2012.66666666667,88.3341,91.4151
2012.75,87.7287,90.9184
2012.83333333333,87.5076,90.5507
2012.91666666667,87.2879,89.9995
2013,86.988,89.3811
2013.08333333333,86.5207,88.6262
2013.16666666667,86.0349,87.9309
2013.25,85.9518,87.3917
2013.33333333333,86.4386,87.4474
2013.41666666667,87.6618,88.0119
2013.5,89.42,88.9171
2013.58333333333,91.3773,90.1824
2013.66666666667,93.1709,91.274
2013.75,94.3842,92.2566
2013.83333333333,95.0869,92.9868
2013.91666666667,95.4269,93.5627
2014,95.6658,94.091
2014.08333333333,95.7865,94.6425
2014.16666666667,95.8812,95.0895
2014.25,95.8376,95.3231
2014.33333333333,95.4898,95.3385
2014.41666666667,94.8817,94.9968
2014.5,94.1345,94.585
2014.58333333333,93.443,94.1108
2014.66666666667,92.9928,93.7495
2014.75,92.9439,93.5348
2014.83333333333,93.3362,93.5713
2014.91666666667,94.03,93.7594
2015,94.9906,94.0609
2015.08333333333,96.0816,94.6403
2015.16666666667,97.3094,95.3523
2015.25,98.515,96.3024
2015.33333333333,99.6299,97.1907
2015.41666666667,100.7502,98.166
2015.5,101.5583,98.9489
2015.58333333333,102.2231,99.5538
2015.66666666667,102.669,100.0593
2015.75,102.9338,100.3637
2015.83333333333,103.0395,100.5447
2015.91666666667,103.134,100.5869
2016,103.2367,100.4611
2016.08333333333,103.2521,100.3665
2016.16666666667,103.3802,100.4062
2016.25,103.4026,100.6159
2016.33333333333,103.561,101.2168
2016.41666666667,103.5688,101.9807
2016.5,103.592,102.9503
2016.58333333333,103.7017,103.8407
2016.66666666667,103.9312,104.5977
2016.75,104.28,105.0848
2016.83333333333,104.755,105.5317
2016.91666666667,105.4233,105.8017
2017,106.0035,106.0556
2017.08333333333,106.5954,106.4908
2017.16666666667,107.1056,106.8085
2017.25,107.6985,107.0496
2017.33333333333,108.2859,107.1788
2017.41666666667,108.9153,107.0681
2017.5,109.6695,106.9426
2017.58333333333,110.4277,106.8286
2017.66666666667,111.1228,106.8821
2017.75,111.7074,107.2493
2017.83333333333,112.2275,107.7309
2017.91666666667,112.5159,108.285
2018,112.5184,108.8992
2018.08333333333,112.2274,109.4294
2018.16666666667,111.6829,109.7042
2018.25,110.9747,109.7963
2018.33333333333,110.0825,109.7248
2018.41666666667,109.2886,109.3626
2018.5,108.5453,108.7185
2018.58333333333,107.8224,107.952
2018.66666666667,107.0966,107.1806
2018.75,106.375,106.5674
2018.83333333333,105.8153,106.2182
2018.91666666667,105.3706,106.1384
2019,105.3154,106.4295
2019.08333333333,105.5359,106.8973
2019.16666666667,105.9927,107.3164
2019.25,106.432,107.5645
2019.33333333333,106.7338,107.6493
2019.41666666667,106.8919,107.647
2019.5,106.8372,107.5714
2019.58333333333,106.793,107.4918
2019.66666666667,107.0804,107.6295
2019.75,108.4643,109.2166
2019.83333333333,108.0638,108.988
2019.91666666667,104.8605,105.7701
2020,99.8877,100.379
2020.08333333333,92.3704,91.6511
2020.16666666667,84.0872,81.5653
2020.25,77.4859,72.5104
2020.33333333333,75.9418,68.6264
2020.41666666667,78.0034,69.6762
2020.5,82.2616,74.3669
2020.58333333333,86.3419,79.5832
2020.66666666667,89.0156,83.9159
2020.75,90.6835,86.6363
2020.83333333333,89.6631,85.8626
2020.91666666667,89.5629,84.9553
2021,91.3236,85.4178
2021.08333333333,94.2658,87.2489
2021.16666666667,98.1087,90.7891
2021.25,102.562,95.128
2021.33333333333,107.0041,99.7443
2021.41666666667,110.0607,103.7294
2021.5,112.4527,106.7619
2021.58333333333,113.3448,108.6188
2021.66666666667,113.6552,109.6926
2021.75,113.5383,110.5573
2021.83333333333,112.6515,111.0052
2021.91666666667,111.8972,111.5046
2022,111.0659,111.8664
2022.08333333333,110.0654,112.2138
2022.16666666667,108.7656,112.2207
2022.25,107.4335,111.5018
2022.33333333333,106.1784,110.7741
2022.41666666667,105.2615,110.0353
2022.5,104.3011,109.2459
2022.58333333333,103.5648,108.7852
2022.66666666667,103.2502,108.8199
2022.75,103.0022,109.1083
2022.83333333333,102.9518,109.7719
2022.91666666667,103.0274,110.364
2023,102.9864,110.5714
2023.08333333333,102.9198,110.6107
2023.16666666667,102.6997,109.9649
2023.25,102.3138,108.9254
2023.33333333333,101.7985,107.7861
2023.41666666667,101.2493,106.381
2023.5,100.6902,105.1149
2023.58333333333,100.1844,103.8893
2023.66666666667,99.6473,102.823
2023.75,99.232,101.9151
2023.83333333333,99.0043,101.1805
2023.91666666667,98.8967,100.7853
2024,99.1392,100.7259
2024.08333333333,99.3036,100.875
2024.16666666667,99.3685,100.7349
2024.25,99.2939,100.666
2024.33333333333,98.9546,100.2162
2024.41666666667,98.4095,99.5584
2024.5,97.7523,98.8359
2024.58333333333,97.2664,98.3055
2024.66666666667,96.8098,97.9621
2024.75,96.4793,97.5014
2024.83333333333,96.102,97.1831
2024.91666666667,95.8857,96.6685
2025,95.8543,96.2138
2025.08333333333,95.8014,95.7623
2025.16666666667,95.9073,95.5368
2025.25,96.0119,95.4574
2025.33333333333,96.1011,95.3442
2025.41666666667,96.175,95.3413
2025.5,96.2369,95.138
2025.58333333333,96.4684,94.9527
2025.66666666667,96.815,94.67
2025.75,97.3709,94.7872
2025.83333333333,97.856,95.3014
2025.91666666667,98.0767,95.7499
2026,97.9358,96.4713
