"time","bc_cz","bc_c1","bc_c3","bc_c4","bc_c5","oscd","oscde","ossk","tppa","tppre","pgp"
2012,94.7318,99.1757,95.1583,95.9134,95.54,-24.2438,-18.9299,11.6696,-2.0163,-1.5109,-29.2902
2012.08333333333,94.9449,99.4253,95.3111,96.1831,95.8592,-24.0651,-18.7006,11.4196,-2.1769,-1.4584,-28.5202
2012.16666666667,94.8801,98.9828,95.1167,96.3024,95.9092,-24.0906,-18.4177,11.1934,-2.6939,-1.2021,-27.7633
2012.25,94.8508,98.2678,94.7171,96.2285,95.9718,-24.2419,-18.5127,10.8664,-3.6706,-0.83,-28.1738
2012.33333333333,94.5038,97.2337,94.0899,96.4633,95.6684,-25.1003,-19.2484,10.9014,-5.3343,-0.8137,-30.8641
2012.41666666667,93.3496,95.6734,92.4645,95.9614,94.5305,-25.9812,-20.2186,11.137,-7.2654,-1.1069,-34.5411
2012.5,92.517,94.9287,91.1204,95.9628,93.683,-26.9398,-21.2351,11.5825,-8.8672,-1.3073,-38.6727
2012.58333333333,91.6544,94.6391,89.869,95.6534,92.8747,-28.0846,-22.657,11.9474,-9.3833,-2.24,-42.3395
2012.66666666667,90.9559,95.0003,88.8714,95.2575,92.2122,-28.9191,-24.1322,12.2029,-9.9053,-3.0487,-44.4257
2012.75,90.5095,95.7679,88.0076,94.9781,91.7412,-29.7283,-25.2679,12.1908,-9.9025,-3.6844,-44.4737
2012.83333333333,90.1891,96.6391,87.6094,94.2138,91.4568,-30.444,-26.4913,11.5152,-9.8698,-4.1784,-43.2827
2012.91666666667,89.9494,96.9116,87.5763,93.5926,91.1354,-31.3765,-27.1546,10.777,-9.9046,-4.2137,-42.0141
2013,89.8548,96.81,87.77,93.1806,90.8935,-32.0779,-27.118,9.6569,-10.2674,-3.9249,-41.3848
2013.08333333333,89.5754,95.9143,88.0389,92.985,90.5724,-33.2047,-26.9482,9.0216,-11.1966,-3.2005,-41.9314
2013.16666666667,89.8837,94.7545,88.4548,93.2294,90.7134,-33.4507,-25.9181,8.737,-10.6492,-2.1191,-42.2782
2013.25,90.4815,93.7833,88.9155,93.7096,91.2025,-33.0361,-24.7953,8.8933,-9.7374,-0.7622,-41.7196
2013.33333333333,91.3803,92.8676,89.0892,94.6453,92.0033,-31.8501,-23.7351,9.2874,-8.4379,0.5319,-39.2332
2013.41666666667,92.7888,92.8836,89.3605,95.9924,93.2221,-29.7773,-22.6282,10.0286,-6.2571,2.2761,-34.2669
2013.5,94.3021,93.3899,89.6761,97.311,94.6675,-27.5818,-21.6888,10.7439,-3.6395,3.8393,-27.9463
2013.58333333333,95.7096,94.2927,89.9499,98.7347,96.0089,-25.5297,-20.6928,10.923,-1.5528,5.0855,-21.2998
2013.66666666667,96.7823,95.4168,90.2852,99.8287,96.997,-23.9287,-20.0173,11.0008,-0.0294999999999997,6.0005,-15.9107
2013.75,97.6508,96.6226,90.7005,100.4577,97.8895,-22.819,-19.1581,10.5142,1.8186,6.2677,-12.5112
2013.83333333333,98.2456,97.5828,91.1129,100.7952,98.5246,-22.016,-18.2141,9.8836,2.9467,6.3301,-11.1098
2013.91666666667,98.8525,98.3651,91.6345,100.7632,99.0275,-21.0781,-17.089,9.3485,4.1123,6.3253,-10.5724
2014,99.1789,98.8363,92.1294,100.3433,99.4454,-20.6672,-16.3206,8.9771,4.8956,6.2208,-10.5782
2014.08333333333,99.3109,98.8295,92.3785,100.0442,99.7131,-20.565,-16.0078,9.1221,5.2944,6.3347,-10.7248
2014.16666666667,99.3046,98.6992,92.5588,99.6744,100.0774,-20.7138,-15.7913,9.8798,5.7194,6.2832,-11.0711
2014.25,98.8343,98.0779,92.5071,99.1619,100.066,-21.4768,-16.2863,10.7553,5.3133,5.744,-11.82
2014.33333333333,98.1424,97.4654,92.1914,98.7594,99.817,-22.4915,-17.0588,11.4414,4.5303,4.8504,-13.0969
2014.41666666667,97.4056,96.7712,91.9516,98.3759,99.517,-23.3054,-17.8904,11.9259,3.6033,3.6997,-15.2128
2014.5,96.9741,96.1806,91.6846,98.1846,99.3156,-23.5151,-17.8784,12.148,2.5234,2.8473,-17.2076
2014.58333333333,96.876,95.9408,91.606,98.3056,99.118,-23.1425,-17.4699,12.3617,1.3749,2.8734,-18.8398
2014.66666666667,97.0119,96.1047,91.7469,98.3748,98.9688,-22.7421,-17.163,12.4353,0.8901,3.5445,-19.5468
2014.75,97.374,96.605,91.9308,98.5544,99.1757,-22.3065,-16.482,12.2856,0.5305,4.7689,-19.0034
2014.83333333333,97.8973,97.6701,92.1562,99.3268,99.4173,-21.6733,-15.5247,11.9795,-0.0644,6.2982,-17.1044
2014.91666666667,98.4163,98.966,92.7419,100.0212,99.7838,-21.4146,-14.5419,11.3815,0.2841,7.1015,-14.182
2015,98.8144,100.085,93.3725,101.1178,99.9939,-21.5113,-13.8052,10.1603,0.5569,7.5927,-10.6817
2015.08333333333,99.1886,101.3808,94.1353,102.2102,100.3074,-21.583,-12.8907,8.602,0.7811,7.605,-6.9844
2015.16666666667,99.6897,102.4185,95.1164,103.413,100.6833,-21.1136,-11.6704,7.4946,1.3522,7.2552,-3.6775
2015.25,100.3134,103.3394,95.9454,104.6042,101.0177,-20.4525,-10.5521,7.2972,2.8591,7.0832,-1.0505
2015.33333333333,100.956,104.2894,96.5916,105.3856,101.3971,-19.6056,-9.7607,7.6187,4.2042,7.6952,0.425
2015.41666666667,101.5884,104.9861,97.1009,106.0828,101.5982,-18.525,-9.2385,8.3347,5.5917,8.2691,1.617
2015.5,102.228,105.3529,97.2821,106.7242,101.8207,-17.1606,-8.6151,9.7716,6.8516,8.832,2.4325
2015.58333333333,102.7955,105.3804,97.4121,107.3789,101.7455,-15.7181,-8.0772,11.1421,7.6041,9.3888,2.9964
2015.66666666667,103.1293,104.8207,97.7357,107.8374,101.4647,-14.8109,-7.8326,11.5776,8.0273,9.5706,3.3408
2015.75,103.1268,103.7672,98.0929,108.1038,101.0513,-14.1531,-7.7356,11.1673,6.4234,9.7643,3.3748
2015.83333333333,103.1046,102.9912,98.7187,108.2851,100.6642,-13.5585,-7.3846,10.2653,4.6537,9.7831,2.9742
