"time","bc_serv","bc_transports","bc_heb","bc_info","bc_immp","bc_actspec","bc_servadm"
1989,116.5,,115.6,113.9,116.9,114.2,117.8
1989.08333333333,116.6,,115.1,115.5,116.2,115.5,116.6
1989.16666666667,116.8,,114.6,117,115.5,116.9,115.5
1989.25,116.9,,114.2,118.5,114.8,118.3,114.3
1989.33333333333,116.2,,114.7,118.2,115.2,115.5,113.4
1989.41666666667,115.5,,115.2,117.9,115.5,112.7,112.5
1989.5,114.8,,115.8,117.5,115.8,109.9,111.6
1989.58333333333,115.3,,114.8,117.1,117.5,111.6,111.3
1989.66666666667,115.8,,113.8,116.6,119.1,113.3,111
1989.75,116.4,,112.9,116.2,120.8,115.1,110.7
1989.83333333333,115.9,,113,116.6,119.8,116.3,109.5
1989.91666666667,115.4,,113.2,117.1,118.8,117.5,108.4
1990,115,,113.4,117.6,117.9,118.7,107.3
1990.08333333333,114,,114.9,115.8,117.7,116.2,107.6
1990.16666666667,113.1,,116.4,114.1,117.6,113.7,108
1990.25,112.1,,117.9,112.3,117.4,111.2,108.3
1990.33333333333,111.3,,117.8,110.8,118.8,112.1,107
1990.41666666667,110.4,,117.7,109.2,120.2,113,105.6
1990.5,109.6,,117.6,107.7,121.5,114,104.3
1990.58333333333,107.2,,114.1,107.5,115.1,111.8,101.6
1990.66666666667,104.7,,110.6,107.2,108.6,109.6,99
1990.75,102.3,,107,107,102.2,107.4,96.3
1990.83333333333,99.2,,103.6,104.9,102,105.7,93.7
1990.91666666667,96.2,,100.1,102.9,101.7,104,91.1
1991,93.1,,96.7,100.9,101.5,102.3,88.5
1991.08333333333,94.2,,97.8,100.1,101.7,101.4,89.6
1991.16666666667,95.3,,99,99.2,102,100.5,90.7
1991.25,96.3,,100.1,98.3,102.2,99.6,91.7
1991.33333333333,96.5,,97.9,96,101.6,98.3,94.6
1991.41666666667,96.7,,95.6,93.7,101.1,97.1,97.5
1991.5,96.9,,93.4,91.4,100.5,95.9,100.4
1991.58333333333,97.8,,97.6,90.4,100.7,95.5,101.7
1991.66666666667,98.8,,101.8,89.3,100.8,95.1,103.1
1991.75,99.7,,106.1,88.3,100.9,94.8,104.4
1991.83333333333,99.7,,107.3,89.3,100,95,103.1
1991.91666666667,99.8,,108.4,90.4,99.1,95.3,101.8
1992,99.9,,109.6,91.5,98.2,95.6,100.4
1992.08333333333,98.1,,107.3,92.9,95,94.7,99.6
1992.16666666667,96.3,,105,94.3,91.8,93.9,98.7
1992.25,94.5,,102.6,95.8,88.6,93.1,97.8
1992.33333333333,92.6,,99.6,93.6,89.4,91,94.9
1992.41666666667,90.7,,96.6,91.4,90.2,88.8,92.1
1992.5,88.9,,93.6,89.2,91,86.7,89.2
1992.58333333333,86.9,,94.3,87.4,90.3,84,88.1
1992.66666666667,84.8,,94.9,85.6,89.6,81.3,87
1992.75,82.8,,95.5,83.8,88.9,78.5,85.8
1992.83333333333,81,,89.3,83.3,89.5,78.3,85
1992.91666666667,79.2,,83,82.9,90,78.1,84.1
1993,77.4,,76.7,82.5,90.6,78,83.2
1993.08333333333,78.5,,79.3,82.7,92.8,79.4,79
1993.16666666667,79.6,,81.9,83,95,80.9,74.7
1993.25,80.6,,84.5,83.3,97.2,82.4,70.4
1993.33333333333,81.7,,85.5,82.4,94.1,83.7,75.8
1993.41666666667,82.8,,86.5,81.6,91.1,85.1,81.1
1993.5,83.9,,87.5,80.7,88,86.4,86.4
1993.58333333333,84.4,,84.8,82.8,91.4,86.5,86
1993.66666666667,84.8,,82,84.9,94.9,86.7,85.7
1993.75,85.3,,79.3,87,98.3,86.8,85.3
1993.83333333333,87.8,,81.4,87.3,98.8,86.3,91.7
1993.91666666667,90.3,,83.6,87.6,99.2,85.8,98.2
1994,92.8,,85.7,87.9,99.7,85.2,104.6
1994.08333333333,94.4,,87.9,88.5,99.7,86.5,105.7
1994.16666666667,96,,90,89.1,99.8,87.8,106.8
1994.25,97.6,,92.2,89.8,99.8,89.1,108
1994.33333333333,98.7,,92.4,90.6,98.6,91.2,108
1994.41666666667,99.8,,92.7,91.5,97.3,93.4,108.1
1994.5,100.9,,93,92.4,96,95.6,108.2
1994.58333333333,103.5,,95,94.4,97.1,98.6,109.5
1994.66666666667,106.1,,97.1,96.4,98.2,101.6,110.8
1994.75,108.7,,99.2,98.4,99.3,104.5,112.2
1994.83333333333,108,,99.2,99.4,97.5,104.8,111.5
1994.91666666667,107.3,,99.2,100.3,95.8,105,110.8
1995,106.7,,99.2,101.2,94,105.2,110.1
1995.08333333333,105,,99.7,100.6,93.4,103.2,109.4
1995.16666666667,103.4,,100.2,100,92.7,101.2,108.6
1995.25,101.7,,100.6,99.4,92,99.2,107.9
1995.33333333333,101.5,,99.3,98.6,92.5,100.3,107.8
1995.41666666667,101.3,,98,97.7,93,101.5,107.8
1995.5,101.1,,96.7,96.9,93.5,102.6,107.8
1995.58333333333,99.1,,97,96.7,91.9,101.5,104.2
1995.66666666667,97.2,,97.2,96.5,90.2,100.4,100.6
1995.75,95.2,,97.5,96.3,88.5,99.3,97
1995.83333333333,92.9,,95,95.3,88.2,98.4,93.8
1995.91666666667,90.6,,92.5,94.4,87.9,97.5,90.6
1996,88.3,,89.9,93.4,87.6,96.6,87.5
1996.08333333333,89.7,,90.4,95.6,86.3,97.8,87.7
1996.16666666667,91.1,,90.9,97.7,84.9,99.1,87.8
1996.25,92.4,,91.4,99.9,83.6,100.3,88
1996.33333333333,90.9,,88.5,97.5,84.9,98.6,87.5
1996.41666666667,89.3,,85.6,95.1,86.2,97,86.9
1996.5,87.8,,82.7,92.8,87.5,95.3,86.4
1996.58333333333,88.8,,87.8,93.1,85.1,94.8,85.7
1996.66666666667,89.7,,92.9,93.4,82.8,94.2,85
1996.75,90.7,,98,93.8,80.5,93.6,84.3
1996.83333333333,92.8,,97,96.1,86.7,96.5,89.7
1996.91666666667,94.9,,96.1,98.4,92.9,99.4,95
1997,96.9,,95.2,100.7,99.1,102.3,100.4
1997.08333333333,97.4,,95.1,100.5,97.2,100.4,101.4
1997.16666666667,97.8,,95,100.2,95.3,98.4,102.4
1997.25,98.3,,94.9,100,93.4,96.5,103.5
1997.33333333333,98.5,,96.6,99.6,95.2,95.9,102.6
1997.41666666667,98.8,,98.3,99.1,97,95.3,101.8
1997.5,99.1,,100.1,98.7,98.8,94.8,100.9
1997.58333333333,99.1,,98.8,100.1,96.4,96,100.4
1997.66666666667,99.2,,97.6,101.6,94,97.2,99.8
1997.75,99.2,,96.3,103.1,91.5,98.4,99.2
1997.83333333333,100.9,,98.7,104.9,94.6,98.2,101.1
1997.91666666667,102.6,,101.1,106.6,97.7,98,103
1998,104.3,,103.5,108.4,100.7,97.8,104.9
1998.08333333333,105.6,,104.6,109.2,102.1,99.8,105.6
1998.16666666667,106.8,,105.7,110,103.5,101.9,106.3
1998.25,108,,106.8,110.7,105,104,107.1
1998.33333333333,107.6,,106.3,109.7,102.9,104.8,107.4
1998.41666666667,107.3,,105.7,108.7,100.9,105.5,107.8
1998.5,106.9,,105.2,107.7,98.9,106.2,108.1
1998.58333333333,106,,102.9,107.5,102.7,105.2,106
1998.66666666667,105.2,,100.7,107.3,106.6,104.2,104
1998.75,104.3,,98.5,107,110.4,103.2,101.9
1998.83333333333,102.5,,98.9,106.2,106.5,101.9,100.6
1998.91666666667,100.6,,99.4,105.3,102.6,100.6,99.4
1999,98.7,,99.8,104.4,98.6,99.4,98.2
1999.08333333333,99.6,,100.5,104,99.8,100.8,98.7
1999.16666666667,100.5,,101.1,103.6,100.9,102.1,99.2
1999.25,101.4,,101.8,103.2,102,103.5,99.7
1999.33333333333,102.9,,103.6,104.2,105.3,103.4,101.7
1999.41666666667,104.4,,105.4,105.2,108.6,103.3,103.6
1999.5,105.9,,107.2,106.2,111.9,103.3,105.5
1999.58333333333,108.7,,109.5,107.5,111.4,105.8,107.4
1999.66666666667,111.5,,111.8,108.8,110.8,108.3,109.3
1999.75,114.2,,114.1,110.1,110.3,110.8,111.1
1999.83333333333,112.7,,111.7,109.7,107.5,111.5,109.5
