"time","bc_serv","bc_transports","bc_heb","bc_info","bc_immp","bc_actspec","bc_servadm"
2012,92.3583,92.81,98.8994,90.3904,98.1773,94.7223,93.0361
2012.08333333333,92.608,93.0814,98.9893,90.6273,98.0858,95.0709,93.3863
2012.16666666667,92.6676,93.2252,98.9773,90.803,97.6586,95.1632,93.4221
2012.25,92.5617,93.4104,98.5896,91.0301,97.2592,95.0857,93.3703
2012.33333333333,92.1371,93.2033,97.8795,91.0204,96.6948,94.4753,93.0975
2012.41666666667,90.6787,92.1652,95.8312,89.9062,95.1498,92.8068,92.3182
2012.5,89.2913,91.065,93.7929,88.4903,94.1328,91.2786,91.7323
2012.58333333333,88.11,89.988,91.9421,86.9783,93.3818,89.933,91.417
2012.66666666667,87.2229,89.1826,90.5289,85.5727,92.7143,88.9316,91.23
2012.75,86.7024,88.9451,89.6941,84.5715,92.325,88.5626,91.0753
2012.83333333333,86.5427,88.9815,89.3607,84.0248,92.1407,88.6415,90.6647
2012.91666666667,86.3928,89.1045,89.3342,83.9028,92.0032,88.6732,89.7417
2013,86.142,89.287,88.9877,84.1248,91.7879,88.543,88.7061
2013.08333333333,85.6862,89.1349,88.6679,84.282,91.4453,87.9153,87.5401
2013.16666666667,85.0694,88.7593,87.9662,84.2128,91.2338,87.2231,86.808
2013.25,84.8446,88.3509,87.4485,84.1424,91.3211,86.782,86.8234
2013.33333333333,85.1303,88.316,87.2879,84.1427,91.4687,86.6934,87.8849
2013.41666666667,85.9782,88.9916,87.6699,84.2998,92.0472,87.3085,89.5545
2013.5,87.2613,90.1782,88.3742,84.6783,92.9881,88.4954,91.272
2013.58333333333,88.772,91.8764,89.3239,85.3332,93.7825,89.8173,93.0705
2013.66666666667,90.2066,93.8728,90.3064,86.1557,94.7182,91.0896,94.4126
2013.75,91.1543,95.5763,91.0612,86.7644,95.4895,92.0018,95.187
2013.83333333333,91.7493,96.8227,91.6619,87.184,96.1185,92.5359,95.6084
2013.91666666667,92.0363,97.7108,91.8719,87.3084,96.5383,92.9653,95.9798
2014,92.271,98.1163,92.1506,87.4391,96.8701,93.3231,96.2495
2014.08333333333,92.4034,98.3453,92.3678,87.4201,97.2013,93.7186,96.3838
2014.16666666667,92.5271,98.3302,92.553,87.5187,97.1332,94.143,96.4364
2014.25,92.5764,98.1984,92.8589,87.5217,96.9574,94.3838,96.2537
2014.33333333333,92.4822,97.9215,93.211,87.4402,96.6192,94.3755,95.992
2014.41666666667,92.2675,97.4536,93.5668,87.3375,96.2756,94.1124,95.6596
2014.5,91.9347,97.0901,93.9328,87.1765,95.6946,93.4409,95.4301
2014.58333333333,91.6059,96.6085,94.3149,87.1895,95.2859,92.6676,95.2234
2014.66666666667,91.2876,96.2764,94.3609,87.3734,94.9835,91.9347,94.7829
2014.75,91.0901,95.6942,94.4546,87.8174,95.021,91.3138,94.3233
2014.83333333333,91.0362,95.3149,94.3717,88.4341,95.104,90.8155,93.8778
