"time","conso_b","conso_bf","conso_c2","conso_de","conso_petr","conso_cz","conso_c1htb","conso_dec2","conso_autres","conso_log","conso_c1","conso_textile","conso_enhc2","conso_bd","conso_c4","conso_bdep"
2012,45.756898,18.9987,4.034006,5.104531,5.222287,37.914859,15.14483,9.167715,5.442627,2.635392,17.651951,4.474064,3.894327,9.082164,5.067307,1.486956
2012.08333333333,45.811524,19.013904,4.03631,5.129017,5.230572,37.948819,15.157582,9.191768,5.448942,2.640704,17.66813,4.467472,3.911751,9.096952,5.074976,1.488489
2012.16666666667,45.731457,18.991886,4.031269,5.093372,5.217363,37.907048,15.136593,9.154775,5.445311,2.642859,17.645929,4.447666,3.88551,9.097381,5.073816,1.487055
2012.25,45.74135,18.985414,4.03444,5.084991,5.217485,37.927213,15.149931,9.151082,5.45577,2.656841,17.668487,4.412631,3.880985,9.113523,5.071602,1.487492
2012.33333333333,45.832597,19.036882,4.043436,5.04694,5.213078,38.043603,15.200873,9.128302,5.47981,2.671882,17.730819,4.416693,3.85994,9.13669,5.073331,1.490429
2012.41666666667,45.669094,18.954262,4.031867,5.017364,5.188153,37.919974,15.171605,9.088934,5.472155,2.669238,17.692457,4.390941,3.846647,9.08762,5.025931,1.485533
2012.5,45.631248,18.95042,4.025462,4.979296,5.165695,37.917549,15.184101,9.048221,5.477808,2.670881,17.698743,4.407911,3.828412,9.062886,4.998037,1.482512
2012.58333333333,45.58006,18.935007,4.013453,4.962687,5.146195,37.880659,15.191557,9.019682,5.479676,2.668149,17.691552,4.427505,3.820565,9.027837,4.965742,1.478644
2012.66666666667,45.546379,18.915316,4.003916,4.992029,5.139868,37.823793,15.184073,9.034135,5.477579,2.666401,17.663045,4.45548,3.846332,8.984591,4.927634,1.469901
2012.75,45.514212,18.898743,3.992181,4.991786,5.126433,37.787365,15.206763,9.02016,5.47857,2.665154,17.661757,4.469348,3.847891,8.95446,4.898929,1.466243
2012.83333333333,45.476788,18.851718,3.976346,5.040359,5.125309,37.703775,15.214012,9.043951,5.477855,2.670012,17.650896,4.460076,3.878031,8.917558,4.854966,1.461863
2012.91666666667,45.468137,18.806993,3.968509,5.091745,5.134609,37.641582,15.227616,9.0794,5.480808,2.672232,17.655455,4.445517,3.908154,8.884465,4.820587,1.456395
2013,45.487195,18.751065,3.967603,5.159086,5.157868,37.59438,15.255046,9.136824,5.489293,2.678519,17.680157,4.415494,3.94559,8.849584,4.774397,1.455319
2013.08333333333,45.519188,18.719593,3.970358,5.221329,5.185405,37.56918,15.268997,9.194127,5.498734,2.684445,17.690192,4.396357,3.976994,8.82764,4.741487,1.455944
2013.16666666667,45.565302,18.69399,3.986091,5.263804,5.222507,37.579244,15.292674,9.249427,5.509425,2.690088,17.711455,4.370317,3.9927,8.816858,4.72082,1.457266
2013.25,45.581303,18.70722,3.991701,5.270711,5.242087,37.598545,15.286489,9.26195,5.520006,2.69729,17.699944,4.361478,3.980859,8.828055,4.7246,1.456496
2013.33333333333,45.564389,18.73202,3.992164,5.215073,5.235693,37.633476,15.301509,9.214022,5.528882,2.702635,17.703893,4.36116,3.931766,8.844188,4.735797,1.456249
2013.41666666667,45.52397,18.759427,3.983724,5.143861,5.210731,37.654892,15.313878,9.142203,5.534823,2.705791,17.705188,4.371205,3.879366,8.855827,4.746052,1.454733
2013.5,45.548573,18.826642,3.969253,5.073145,5.175419,37.726642,15.351162,9.064115,5.54112,2.712784,17.736494,4.386038,3.833457,8.901611,4.789937,1.452435
2013.58333333333,45.559428,18.897351,3.953856,5.001776,5.133653,37.780729,15.368644,8.984111,5.549239,2.726745,17.751257,4.407562,3.794293,8.942437,4.818201,1.451032
2013.66666666667,45.597753,18.964493,3.940295,4.957996,5.098071,37.833073,15.391228,8.929844,5.55817,2.741726,17.772597,4.428744,3.777856,8.979416,4.837983,1.4524
2013.75,45.649396,19.042803,3.930193,4.918195,5.065458,37.897419,15.409108,8.882593,5.569274,2.761274,17.788172,4.450541,3.765868,9.024476,4.858115,1.456318
2013.83333333333,45.660811,19.104649,3.926359,4.878863,5.040852,37.930914,15.401142,8.841818,5.582374,2.771948,17.772919,4.476665,3.751229,9.047232,4.864556,1.461004
2013.91666666667,45.624342,19.132694,3.91878,4.814587,5.007839,37.940873,15.413155,8.774687,5.595678,2.7828,17.773563,4.477589,3.716224,9.060746,4.859572,1.466699
2014,45.535712,19.123831,3.906784,4.742293,4.969157,37.90919,15.427328,8.694886,5.607779,2.785363,17.774218,4.485125,3.673888,9.032886,4.822066,1.469921
2014.08333333333,45.433275,19.100448,3.897739,4.66768,4.932188,37.864834,15.439771,8.617056,5.61739,2.781282,17.774715,4.483946,3.631257,9.001663,4.792441,1.470341
2014.16666666667,45.386145,19.087134,3.888898,4.638265,4.910178,37.835795,15.453518,8.579982,5.628585,2.787348,17.779727,4.48659,3.616703,8.975079,4.757852,1.467649
2014.25,45.396066,19.083792,3.888022,4.647449,4.908274,37.829642,15.464252,8.587023,5.638871,2.803794,17.787108,4.473054,3.627413,8.974845,4.740062,1.46364
2014.33333333333,45.416999,19.087594,3.895815,4.660785,4.91416,37.834701,15.459463,8.608012,5.650284,2.831614,17.78311,4.458334,3.644136,8.981816,4.713751,1.461324
2014.41666666667,45.458391,19.111503,3.900753,4.686269,4.920478,37.855386,15.44521,8.636254,5.662789,2.858194,17.770201,4.444992,3.669017,9.006277,4.706816,1.460573
2014.5,45.50953,19.142934,3.909837,4.69289,4.926246,37.904802,15.444372,8.652506,5.675402,2.891184,17.771552,4.415535,3.680557,9.05354,4.714305,1.462239
2014.58333333333,45.567016,19.173771,3.923492,4.667031,4.925608,37.987072,15.476609,8.644497,5.688548,2.918878,17.806536,4.397487,3.672228,9.088674,4.712461,1.466711
2014.66666666667,45.641552,19.207677,3.927865,4.646796,4.917613,38.079301,15.529759,8.631638,5.70176,2.940565,17.861558,4.385757,3.66746,9.120642,4.713129,1.473195
2014.75,45.75142,19.267864,3.935567,4.633737,4.916601,38.198113,15.58,8.629356,5.715995,2.956734,17.913117,4.403429,3.665596,9.148998,4.717039,1.479799
2014.83333333333,45.884831,19.340755,3.940605,4.644312,4.922739,38.318627,15.621731,8.645247,5.730956,2.967336,17.956312,4.439417,3.675587,9.171269,4.722687,1.485511
2014.91666666667,46.043394,19.419896,3.945833,4.686286,4.940484,38.437869,15.65242,8.689752,5.749334,2.978954,17.988927,4.478747,3.703563,9.193221,4.726771,1.491184
2015,46.158849,19.487227,3.943462,4.727419,4.950692,38.519222,15.659066,8.724837,5.767979,2.978075,17.998845,4.510334,3.730144,9.210736,4.742487,1.496277
2015.08333333333,46.223659,19.545502,3.945556,4.746236,4.958589,38.572826,15.637333,8.743912,5.785374,2.972292,17.981763,4.530113,3.741775,9.232134,4.769016,1.500515
2015.16666666667,46.26986,19.593603,3.945156,4.740586,4.956269,38.626133,15.633029,8.737322,5.800293,2.966465,17.983534,4.538019,3.737309,9.257523,4.800784,1.503613
2015.25,46.324432,19.636151,3.954487,4.720441,4.958847,38.699005,15.647383,8.728259,5.811348,2.964881,18.003272,4.535512,3.724113,9.291286,4.837001,1.505684
2015.33333333333,46.426963,19.706303,3.968523,4.717369,4.970639,38.80125,15.662971,8.740879,5.820132,2.973233,18.019808,4.545294,3.723811,9.342635,4.881394,1.506133
2015.41666666667,46.49146,19.731293,3.970881,4.73656,4.979226,38.845679,15.684451,8.761403,5.822104,2.972894,18.038471,4.545895,3.736318,9.364928,4.910311,1.501242
