"time","creation_ent_ens","creation_ent_be","creation_ent_cz","creation_ent_fz","creation_ent_gi","creation_ent_g","creation_ent_h","creation_ent_i","creation_ent_jz","creation_ent_kz","creation_ent_lz","creation_ent_mn","creation_ent_oq","creation_ent_ru"
2012,47781.166,2368.506,1957.545,7099.08,12671.877,9619.14,840.851,2211.858,2357.605,1184.501,1515.697,9792.021,5140.207,5651.943
2012.08333333333,47805.246,2368.712,1959.559,7097.393,12668.52,9611.008,843.428,2214.038,2360.976,1179.25,1501.307,9810.764,5148.007,5670.596
2012.16666666667,47654.576,2361.729,1958.104,7068.682,12613.88,9566.567,847.598,2199.763,2354.616,1173.047,1473.597,9811.89,5128.514,5668.856
2012.25,47612.241,2369.529,1968.741,7079.53,12618.512,9570.872,858.131,2189.727,2352.959,1181.516,1434.483,9814.977,5117.196,5643.798
2012.33333333333,47737.586,2387.719,1984.839,7138.756,12681.774,9627.313,872.486,2182.317,2353.187,1200.069,1405.396,9832.816,5119.377,5618.713
2012.41666666667,47725.048,2389.935,1989.514,7198.036,12707.254,9654.35,883.642,2169.604,2344.937,1223.104,1364.379,9816.325,5119.699,5561.59
2012.5,47683.802,2380.657,1980.561,7260.852,12721.54,9680.823,888.034,2152.92,2336.047,1245.135,1324.749,9789.147,5115.73,5510.181
2012.58333333333,47477.435,2362.244,1961.596,7288.179,12690.846,9659.484,879.892,2151.557,2313.531,1264.566,1302.1,9713.566,5102.877,5440.013
2012.66666666667,47090.702,2330.502,1929.369,7233.47,12624.593,9608.433,864.824,2151.25,2281.797,1276.454,1274.386,9598.882,5106.513,5364.656
2012.75,46745.224,2297.223,1894.917,7124.65,12597.371,9578.698,853.758,2164.775,2250.568,1289.064,1252.774,9503.511,5112.541,5318
2012.83333333333,46369.687,2265.601,1871.238,6966.232,12590.216,9567.486,844.409,2178.266,2224.388,1299.829,1234.108,9410.821,5115.97,5262.935
2012.91666666667,46156.563,2250.845,1858.345,6800.908,12637.988,9597.957,847.224,2192.899,2212.443,1304.459,1224.738,9367.928,5151.135,5206.442
2013,46366.346,2264.043,1871.959,6706.021,12823.886,9733.077,866.395,2224.68,2214.582,1310.152,1227.531,9383.607,5259.141,5177.71
2013.08333333333,46686.889,2285.16,1893.196,6648.217,13025.81,9892.106,891.902,2242.14,2225.835,1309.178,1234.536,9445.076,5354.028,5159.379
2013.16666666667,47027.295,2315.566,1918.009,6645.449,13199.614,10023.173,920.386,2256.453,2234.514,1307.643,1236.443,9517.087,5433.296,5138.265
2013.25,47190.214,2338.479,1933.589,6645.693,13330.474,10126.09,943.326,2261.407,2234.907,1304.535,1235.479,9527.691,5466.876,5107.039
2013.33333333333,47260.952,2363.608,1942.34,6651.925,13428.003,10192.036,965.075,2271.168,2229.494,1303.951,1227.307,9520.523,5459.72,5077.545
2013.41666666667,47373.901,2378.482,1947.229,6663.465,13522.662,10267.46,975.934,2279.509,2232.311,1316.399,1222.6,9519.728,5469.209,5050.113
2013.5,47304.331,2393.381,1950.608,6646.285,13541.008,10278.669,980.242,2282.356,2233.914,1332.492,1220.873,9481.918,5435.712,5019.675
2013.58333333333,47372.128,2411.452,1963.769,6642.448,13561.049,10282.59,987.311,2291.396,2236.849,1356.96,1226.915,9473.877,5454.638,5008.703
2013.66666666667,47572.556,2432.24,1985.759,6670.885,13588.196,10280.761,1002.248,2305.432,2239.673,1374.65,1245.895,9506.07,5504.201,5011.315
2013.75,47783.948,2462.72,2019.176,6714.216,13590.644,10247.108,1021.314,2322.477,2233.533,1394.777,1271.325,9555.41,5540.192,5021.671
