"time","icam_climat","icam_sff","icam_evpp","icam_ial","icam_evfc","icam_cef","icam_oe","icam_dadl","icam_nvf","icam_ofai","icam_nvpas","icam_cea","icam_abe","icam_sfp","icam_evfp","icam_iav"
1970,,9,22,,-14,,,,2,,2,6,,-11,,
1970.08333333333,,9,23,,-13,,,,3,,3,6,,-11,,
1970.16666666667,,8,24,,-12,,,,4,,4,6,,-11,,
1970.25,,8,25,,-9,,,,5,,6,6,,-10,,
1970.33333333333,,8,26,,-8,,,,6,,8,6,,-9,,
1970.41666666667,,8,27,,-8,,,,7,,9,6,,-9,,
1970.5,,8,28,,-9,,,,8,,11,6,,-9,,
1970.58333333333,,8,29,,-10,,,,8,,13,6,,-9,,
1970.66666666667,,8,30,,-11,,,,10,,14,6,,-9,,
1970.75,,8,32,,-13,,,,11,,16,7,,-9,,
1970.83333333333,,9,33,,-13,,,,12,,17,7,,-8,,
1970.91666666667,,9,33,,-12,,,,11,,17,8,,-8,,
1971,,10,33,,-9,,,,9,,16,8,,-7,,
1971.08333333333,,10,36,,-6,,,,7,,14,9,,-7,,
1971.16666666667,,9,40,,-4,,,,5,,12,9,,-7,,
1971.25,,8,47,,-3,,,,2,,8,9,,-9,,
1971.33333333333,,7,50,,-1,,,,1,,6,9,,-9,,
1971.41666666667,,7,51,,0,,,,1,,7,9,,-9,,
1971.5,,8,48,,0,,,,3,,10,10,,-8,,
1971.58333333333,,8,47,,0,,,,4,,12,10,,-8,,
1971.66666666667,,9,46,,0,,,,6,,13,10,,-7,,
1971.75,,10,46,,-2,,,,7,,15,11,,-7,-39,
1971.83333333333,,10,45,,-2,,,,7,,15,11,,-7,-37,
1971.91666666667,,10,42,,0,,,,7,,15,11,,-7,-34,
1972,,8,39,,4,,,,6,,14,10,,-8,-28,
1972.08333333333,,8,38,,4,,,,5,,14,10,,-9,-25,
1972.16666666667,,8,41,,2,,,,6,,14,10,,-9,-23,
1972.25,,9,46,,-2,,,,7,,15,10,,-8,-24,
1972.33333333333,,9,51,,-4,,,,8,,16,10,,-7,-24,
1972.41666666667,,10,54,,-3,,,,9,,17,11,,-7,-26,
1972.5,,10,55,,0,,,,10,,17,11,,-6,-27,
1972.58333333333,,11,58,,2,,,,10,,18,12,,-5,-28,
1972.66666666667,,11,62,,2,,,,11,,18,12,,-4,-28,
1972.75,128,12,68,,2,-9,-14,,12,29,17,13,,-3,-27,
1972.83333333333,128,13,69,,1,-10,-13,,14,28,18,13,,-2,-29,
1972.91666666667,129,14,65,,0,-10,-10,,16,26,20,14,,-1,-35,
1973,130,14,58,,-1,-10,-5,,19,22,22,14,,0,-44,
1973.08333333333,131,15,52,,-1,-10,-3,,20,21,25,14,,1,-45,
1973.16666666667,131,15,47,,1,-11,-4,,20,23,27,15,,1,-39,
1973.25,132,16,45,,5,-11,-7,,18,27,29,15,,1,-25,
1973.33333333333,131,16,46,,9,-12,-10,,16,29,29,16,,0,-16,
1973.41666666667,130,14,50,,12,-13,-13,,12,30,27,15,,-1,-12,
1973.5,128,12,57,,14,-14,-15,,7,30,23,14,,-2,-13,
1973.58333333333,126,11,65,,13,-15,-17,,4,30,19,13,,-3,-15,
1973.66666666667,125,11,72,,9,-15,-20,,3,30,15,12,,-4,-16,
1973.75,125,12,79,,2,-15,-22,,4,30,12,12,,-5,-18,
1973.83333333333,123,9,84,,6,-16,-24,,-2,31,9,11,,-6,-14,
1973.91666666667,119,3,85,,21,-19,-27,,-13,33,6,11,,-8,-4,
1974,113,-7,82,,47,-24,-30,,-31,35,2,10,,-9,13,
1974.08333333333,110,-11,83,,58,-26,-32,,-37,35,-1,10,,-11,16,
1974.16666666667,111,-9,88,,52,-25,-33,,-30,35,-5,9,,-12,7,
1974.25,115,-1,96,,30,-22,-34,,-12,33,-10,9,,-12,-16,
1974.33333333333,117,3,100,,20,-20,-33,,-2,31,-13,9,,-13,-29,
1974.41666666667,117,4,101,,21,-20,-33,,-1,30,-15,9,,-13,-34,
1974.5,114,0,97,,33,-21,-32,,-9,28,-15,9,,-13,-30,
1974.58333333333,112,-2,95,,43,-22,-31,,-16,27,-17,9,,-14,-28,
1974.66666666667,110,-5,93,,50,-22,-31,,-22,26,-19,9,,-15,-27,
1974.75,108,-6,93,,55,-23,-30,,-26,24,-21,9,,-16,-28,
1974.83333333333,108,-6,91,,56,-22,-29,,-26,23,-22,10,,-16,-30,
1974.91666666667,109,-4,89,,54,-22,-28,,-22,22,-21,10,,-15,-33,
1975,112,0,85,,48,-20,-26,,-15,21,-18,11,,-14,-36,
1975.08333333333,114,3,80,,45,-19,-24,,-10,20,-16,11,,-13,-40,
1975.16666666667,115,5,73,,43,-19,-22,,-7,20,-15,12,,-12,-43,
1975.25,116,5,65,,43,-18,-21,,-7,19,-14,12,,-11,-47,
1975.33333333333,116,6,60,,43,-17,-20,,-6,19,-13,12,,-11,-48,
1975.41666666667,116,6,58,,41,-17,-20,,-6,20,-12,12,,-10,-47,
1975.5,117,6,58,,39,-17,-20,,-6,21,-11,12,,-9,-44,
1975.58333333333,117,6,58,,36,-17,-20,,-5,22,-10,12,,-9,-41,
1975.66666666667,118,6,57,,33,-16,-20,,-4,24,-9,13,,-8,-38,
1975.75,119,7,54,,28,-16,-19,,-3,25,-8,13,,-7,-36,
1975.83333333333,119,7,54,,25,-15,-19,,-2,26,-7,13,,-7,-34,
1975.91666666667,120,8,55,,22,-15,-21,,-3,27,-6,13,,-7,-33,
1976,119,8,57,,20,-16,-24,,-4,27,-6,12,,-7,-34,
1976.08333333333,120,8,59,,15,-16,-25,,-4,28,-6,12,,-8,-32,
1976.16666666667,120,9,60,,8,-16,-26,,-3,29,-5,12,,-7,-30,
1976.25,121,9,59,,-2,-17,-26,,-1,30,-3,12,,-7,-26,
1976.33333333333,122,9,60,,-7,-17,-25,,0,31,-3,12,,-6,-24,
1976.41666666667,121,8,61,,-5,-17,-26,,-1,30,-3,12,,-7,-26,
1976.5,120,7,64,,3,-17,-26,,-3,28,-4,12,,-8,-29,
1976.58333333333,119,5,67,,10,-17,-27,,-6,27,-5,11,,-9,-32,
1976.66666666667,117,4,71,,14,-17,-28,,-8,26,-6,11,,-11,-35,
1976.75,116,3,76,,18,-17,-29,,-10,26,-7,10,,-12,-36,
1976.83333333333,116,2,76,,20,-17,-29,,-10,25,-8,10,,-13,-39,
1976.91666666667,116,2,71,,22,-16,-28,,-9,24,-7,10,,-12,-41,
1977,117,4,61,,23,-16,-25,,-7,23,-6,12,,-10,-44,
1977.08333333333,117,4,57,,24,-16,-24,,-7,22,-8,12,,-9,-43,
1977.16666666667,116,3,60,,27,-16,-24,,-9,22,-11,12,,-10,-39,
1977.25,113,1,70,,31,-16,-25,,-13,21,-17,11,,-12,-31,
1977.33333333333,112,0,74,,31,-16,-25,,-15,20,-20,11,,-13,-27,
1977.41666666667,112,0,72,,29,-16,-24,,-14,20,-19,11,,-13,-27,
1977.5,114,1,64,,25,-16,-23,,-11,20,-15,11,,-12,-30,
1977.58333333333,116,3,59,,20,-16,-21,,-8,20,-12,11,,-11,-33,
1977.66666666667,117,4,56,,16,-16,-20,,-5,21,-10,12,,-11,-35,
1977.75,118,4,54,,11,-16,-19,,-3,21,-8,11,,-11,-36,
1977.83333333333,118,5,49,,8,-15,-18,,-1,21,-7,12,,-10,-37,
1977.91666666667,119,6,40,,6,-14,-17,,1,20,-5,12,,-10,-39,
1978,120,7,27,,5,-13,-17,,4,19,-4,13,,-9,-40,
1978.08333333333,120,7,22,,7,-12,-17,,4,19,-3,13,,-8,-36,
1978.16666666667,120,6,25,,12,-13,-17,,2,21,-1,13,,-8,-25,
1978.25,120,4,36,,19,-15,-18,,-1,25,0,12,,-8,-7,
1978.33333333333,119,3,43,,25,-16,-19,,-4,26,1,12,,-8,2,
1978.41666666667,118,2,45,,29,-16,-19,,-6,27,0,12,,-8,3,
1978.5,118,3,43,,31,-16,-19,,-7,25,-2,12,,-8,-5,
1978.58333333333,117,3,42,,34,-15,-19,,-8,24,-3,13,,-8,-11,
1978.66666666667,117,3,42,,37,-15,-19,,-10,23,-5,13,,-8,-16,
1978.75,116,3,43,,41,-15,-19,,-11,23,-7,14,,-8,-19,
1978.83333333333,116,3,43,,44,-15,-20,,-13,23,-8,14,,-8,-21,
1978.91666666667,115,2,42,,46,-15,-20,,-14,22,-9,13,,-9,-22,
1979,114,1,39,,48,-16,-21,,-15,21,-10,12,,-9,-22,
1979.08333333333,113,0,39,,49,-17,-21,,-16,21,-11,12,,-10,-20,
1979.16666666667,113,-1,43,,49,-17,-19,,-17,22,-13,12,,-11,-16,
1979.25,112,-2,50,,48,-16,-17,,-19,23,-15,12,,-12,-11,
1979.33333333333,111,-3,55,,47,-16,-16,,-20,24,-16,12,,-12,-9,
1979.41666666667,111,-3,58,,46,-16,-16,,-21,24,-17,12,,-12,-8,
1979.5,111,-3,58,,45,-16,-18,,-22,25,-18,12,,-12,-10,
1979.58333333333,111,-3,59,,44,-16,-20,,-22,25,-18,12,,-12,-12,
1979.66666666667,111,-3,60,,41,-16,-21,,-21,25,-18,12,,-12,-15,
1979.75,111,-3,62,,39,-15,-22,,-20,26,-19,12,,-12,-17,
1979.83333333333,111,-3,64,,38,-15,-23,,-21,26,-20,12,,-12,-16,
1979.91666666667,110,-4,67,,40,-17,-25,,-25,27,-22,11,,-13,-13,
1980,108,-5,70,,43,-19,-27,,-30,27,-25,11,,-14,-7,
1980.08333333333,106,-6,72,,46,-20,-29,,-33,28,-28,10,,-15,-5,
1980.16666666667,106,-7,73,,48,-20,-33,,-34,28,-30,9,,-16,-5,
1980.25,106,-6,72,,49,-18,-36,,-32,29,-33,9,,-16,-8,
1980.33333333333,106,-6,72,,50,-18,-38,,-31,29,-34,8,,-16,-10,
1980.41666666667,106,-6,71,,51,-18,-38,,-31,28,-34,8,,-16,-11,
1980.5,106,-6,70,,52,-18,-35,,-31,27,-33,8,,-16,-12,
1980.58333333333,106,-5,70,,53,-19,-33,,-31,26,-32,8,,-15,-12,
1980.66666666667,107,-5,69,,53,-19,-32,,-30,25,-30,8,,-15,-13,
1980.75,107,-5,68,,52,-19,-31,,-28,24,-29,7,,-15,-14,
1980.83333333333,107,-5,67,,54,-20,-30,,-28,24,-30,7,,-15,-15,
1980.91666666667,106,-6,68,,58,-20,-30,,-30,24,-31,7,,-16,-15,
1981,105,-7,70,,64,-20,-31,,-33,24,-34,8,,-17,-15,
1981.08333333333,105,-7,70,,64,-19,-31,,-31,24,-35,8,,-18,-16,
1981.16666666667,107,-5,68,,56,-19,-31,,-24,21,-33,8,,-18,-18,
1981.25,110,-2,65,,41,-18,-30,,-13,18,-29,9,,-16,-21,
1981.33333333333,112,0,63,,32,-18,-30,,-6,16,-27,9,,-16,-23,
1981.41666666667,113,1,63,,28,-18,-30,,-4,16,-25,9,,-15,-24,
1981.5,112,0,65,,31,-18,-31,,-7,17,-25,9,,-15,-25,
1981.58333333333,111,-1,67,,31,-18,-32,,-10,18,-25,8,,-16,-26,
1981.66666666667,111,-1,69,,30,-19,-33,,-11,18,-26,8,,-16,-26,
1981.75,111,-2,72,,28,-19,-34,,-11,18,-26,8,,-16,-27,
1981.83333333333,111,-2,72,,27,-19,-35,,-10,18,-24,8,,-16,-29,
1981.91666666667,112,-1,68,,27,-18,-35,,-9,19,-22,8,,-15,-31,
1982,114,1,62,,28,-18,-34,,-7,20,-18,8,,-14,-34,
1982.08333333333,115,2,58,,27,-18,-34,,-6,21,-16,8,,-13,-34,
1982.16666666667,115,2,57,,25,-19,-35,,-6,21,-14,9,,-12,-32,
1982.25,115,0,58,,21,-19,-36,,-7,20,-12,9,,-13,-28,
1982.33333333333,114,-1,55,,19,-20,-36,,-9,20,-12,9,,-13,-24,
1982.41666666667,113,-1,50,,21,-20,-36,,-11,20,-14,9,,-14,-21,
1982.5,112,-2,41,,25,-20,-35,,-14,21,-17,8,,-15,-18,
1982.58333333333,111,-3,32,,29,-20,-35,,-16,22,-20,8,,-16,-13,
1982.66666666667,109,-5,23,,34,-20,-35,,-19,23,-24,7,,-18,-7,
1982.75,107,-8,14,,38,-20,-35,,-22,24,-27,6,,-20,1,
1982.83333333333,106,-8,8,,39,-20,-35,,-23,23,-29,6,,-20,1,
1982.91666666667,107,-6,6,,35,-19,-34,,-21,22,-27,7,,-19,-7,
1983,110,-2,8,,28,-18,-33,,-17,19,-24,8,,-17,-22,
1983.08333333333,110,-1,13,,27,-18,-32,,-17,17,-24,8,,-17,-30,
1983.16666666667,108,-4,21,,31,-19,-31,,-21,16,-28,6,,-18,-31,
1983.25,103,-10,33,,42,-21,-32,,-29,15,-35,4,,-21,-23,
1983.33333333333,101,-13,39,,49,-23,-31,,-33,14,-39,3,,-23,-19,
1983.41666666667,100,-14,41,,51,-23,-30,,-35,14,-41,2,,-23,-19,
1983.5,101,-12,37,,51,-23,-28,,-33,13,-40,2,,-23,-22,
1983.58333333333,102,-10,35,,50,-23,-27,,-31,13,-39,3,,-23,-24,
1983.66666666667,102,-9,33,,50,-22,-25,,-30,12,-39,3,,-23,-26,
1983.75,102,-9,33,,50,-23,-23,,-28,11,-40,2,,-24,-27,
1983.83333333333,102,-10,33,,52,-23,-22,,-29,10,-40,2,,-24,-28,
1983.91666666667,101,-11,33,,56,-22,-22,,-30,10,-42,3,,-24,-28,
1984,100,-12,32,,61,-22,-23,,-33,11,-43,3,,-24,-26,
1984.08333333333,99,-13,32,,66,-22,-23,,-35,11,-45,3,,-24,-26,
1984.16666666667,98,-14,32,,69,-23,-23,,-36,10,-47,2,,-25,-25,
1984.25,97,-14,32,,72,-23,-21,,-36,8,-49,0,,-27,-25,
1984.33333333333,97,-13,32,,73,-23,-20,,-36,7,-50,-1,,-28,-24,
1984.41666666667,96,-13,32,,72,-24,-21,,-37,6,-51,-1,,-29,-24,
1984.5,96,-13,32,,70,-24,-22,,-37,6,-52,-1,,-29,-25,
1984.58333333333,96,-13,33,,68,-24,-23,,-38,5,-52,-1,,-29,-25,
1984.66666666667,96,-13,33,,67,-25,-25,,-38,5,-53,0,,-29,-24,
1984.75,96,-14,35,,65,-25,-26,,-38,3,-53,0,,-30,-24,
1984.83333333333,96,-14,34,,65,-25,-26,,-37,2,-53,0,,-30,-24,
1984.91666666667,96,-13,32,,65,-24,-25,,-35,1,-54,0,,-30,-26,
1985,96,-12,28,,66,-24,-22,,-33,0,-55,-2,,-29,-29,
1985.08333333333,97,-11,24,,65,-24,-20,,-31,-1,-55,-2,,-28,-31,
1985.16666666667,98,-11,21,,61,-24,-20,,-30,-1,-53,-2,,-27,-32,
1985.25,99,-10,18,,56,-25,-20,,-29,0,-51,-1,,-26,-31,
1985.33333333333,100,-9,15,,52,-25,-19,,-28,0,-49,0,,-25,-32,
1985.41666666667,100,-8,11,,50,-24,-18,,-27,1,-48,0,,-24,-33,
1985.5,101,-6,7,,50,-23,-16,,-27,2,-48,0,,-23,-34,
1985.58333333333,102,-5,3,,50,-22,-14,,-25,3,-46,0,,-23,-36,
1985.66666666667,103,-4,-1,,52,-21,-13,,-24,3,-45,1,,-21,-36,
1985.75,104,-3,-4,,54,-20,-12,,-23,3,-43,2,,-20,-37,
1985.83333333333,105,-2,-8,,51,-19,-11,,-20,3,-40,3,,-19,-39,
1985.91666666667,106,-1,-14,,44,-19,-8,,-16,2,-38,4,,-19,-42,
1986,108,1,-21,,32,-18,-5,,-12,1,-35,5,,-19,-47,
1986.08333333333,109,2,-26,,24,-17,-4,,-9,1,-33,6,,-19,-44,
1986.16666666667,109,2,-30,,20,-15,-5,,-10,1,-32,9,,-18,-34,
1986.25,109,2,-36,,20,-12,-3,,-16,3,-34,14,,-17,-11,
1986.33333333333,111,8,-30,,21,-3,-1,,-14,3,-32,15,,-12,-5,
