"time","icam_climat","icam_sff","icam_ial","icam_evfc","icam_cef","icam_oe","icam_dadl","icam_nvf","icam_ofai","icam_nvpas","icam_cea","icam_sfp","icam_evfp"
1970,,9,,-14,,,,2,,2,6,-11,
1970.08333333333,,9,,-13,,,,3,,3,6,-11,
1970.16666666667,,8,,-12,,,,4,,4,6,-11,
1970.25,,8,,-9,,,,5,,6,6,-10,
1970.33333333333,,8,,-8,,,,6,,8,6,-9,
1970.41666666667,,8,,-8,,,,7,,9,6,-9,
1970.5,,8,,-9,,,,8,,11,6,-9,
1970.58333333333,,8,,-10,,,,8,,13,6,-9,
1970.66666666667,,8,,-11,,,,10,,14,6,-9,
1970.75,,8,,-13,,,,11,,16,7,-9,
1970.83333333333,,9,,-13,,,,12,,17,7,-8,
1970.91666666667,,9,,-12,,,,11,,17,8,-8,
1971,,10,,-9,,,,9,,16,8,-7,
1971.08333333333,,10,,-6,,,,7,,14,9,-7,
1971.16666666667,,9,,-4,,,,5,,12,9,-7,
1971.25,,8,,-3,,,,2,,8,9,-9,
1971.33333333333,,7,,-1,,,,1,,6,9,-9,
1971.41666666667,,7,,0,,,,1,,7,9,-9,
1971.5,,8,,0,,,,3,,10,10,-8,
1971.58333333333,,8,,0,,,,4,,12,10,-8,
1971.66666666667,,9,,0,,,,6,,13,10,-7,
1971.75,,10,,-2,,,,7,,15,11,-7,-39
1971.83333333333,,10,,-2,,,,7,,15,11,-7,-37
1971.91666666667,,10,,0,,,,7,,15,11,-7,-34
1972,,8,,4,,,,6,,14,10,-8,-28
1972.08333333333,,8,,4,,,,5,,14,10,-9,-25
1972.16666666667,,8,,2,,,,6,,14,10,-9,-23
1972.25,,9,,-2,,,,7,,15,10,-8,-24
1972.33333333333,,9,,-4,,,,8,,16,10,-7,-24
1972.41666666667,,10,,-3,,,,9,,17,11,-7,-26
1972.5,,10,,0,,,,10,,17,11,-6,-27
1972.58333333333,,11,,2,,,,10,,18,12,-5,-28
1972.66666666667,,11,,2,,,,11,,18,12,-4,-28
1972.75,128,12,,2,-9,-14,,12,29,17,13,-3,-27
1972.83333333333,128,13,,1,-10,-13,,14,28,18,13,-2,-29
