"time","icam_climat","icam_sff","icam_evpp","icam_ial","icam_evfc","icam_cef","icam_oe","icam_dadl","icam_nvf","icam_ofai","icam_nvpas","icam_cea","icam_abe","icam_sfp","icam_evfp","icam_iav"
2012,88.213,-21.375,19.656,-83.169,54.007,-5.328,21.278,-56.228,-43.109,-24.623,-69.607,9.315,-4.474,-29.731,-20.167,-77.426
2012.08333333333,88.551,-21.009,20.237,-83.176,53.88,-5.077,21.69,-56.222,-42.555,-24.538,-69.434,9.148,-4.364,-29.693,-20.105,-77.358
2012.16666666667,89.29,-19.985,19.853,-82.887,52.947,-4.702,22.193,-55.937,-40.577,-24.302,-68.589,9.085,-4.085,-29.208,-21.46,-77.161
2012.25,90.341,-18.633,18.15,-82.925,52.966,-3.998,23.637,-56.079,-38.404,-23.929,-68.022,9.824,-3.937,-28.612,-23.338,-77.045
2012.33333333333,91.085,-17.873,14.666,-83.529,54.402,-3.785,24.687,-56.593,-37.85,-23.982,-68.096,11.031,-4.175,-28.043,-25.058,-77.102
2012.41666666667,90.469,-17.724,10.259,-84.301,57.506,-3.555,26.205,-57.086,-39.139,-24.282,-68.562,12.456,-4.834,-27.705,-24.925,-76.803
2012.5,89.479,-18.232,5.497,-85.502,61.989,-3.516,27.965,-57.604,-42.458,-25.185,-69.672,13.924,-6.073,-27.755,-23.368,-76.943
2012.58333333333,87.87,-19.65,2.167,-86.761,66.651,-3.443,29.957,-58.231,-47.49,-26.299,-70.96,15.263,-7.177,-28.265,-20.512,-77.363
2012.66666666667,86.355,-21.349,-0.504,-87.527,69.855,-2.854,31.698,-58.715,-51.935,-27.262,-71.885,16.69,-8.255,-28.756,-17.937,-77.983
2012.75,85.328,-22.747,-2.5,-87.966,71.99,-2.186,33.279,-58.9,-54.872,-28.003,-72.093,17.686,-9.07,-29.099,-16.478,-78.75
2012.83333333333,84.788,-23.735,-4.074,-87.72,73.064,-1.639,34.838,-59.037,-56.63,-28.642,-71.781,18.397,-9.57,-29.002,-15.934,-79.289
2012.91666666667,84.716,-24.253,-6.124,-87.234,73.197,-0.982,35.36,-59.357,-57.191,-29.059,-71.342,18.818,-9.929,-28.735,-16.692,-79.493
2013,84.489,-24.696,-7.879,-86.795,73.827,-0.847,35.129,-59.634,-57.823,-29.671,-71.655,18.615,-9.937,-28.73,-17.668,-79.373
2013.08333333333,84.036,-25.099,-9.913,-86.52,74.668,-1.317,34.321,-59.855,-58.979,-30.452,-72.644,17.963,-9.785,-28.941,-18.358,-79.046
