"time","ica_cz","ica_c1","ica_c3","ica_c4","ica_c5"
1999,65.66,55.4,78.14,74.71,65.34
1999.08333333333,65.57,56.31,76.97,73.79,64.43
1999.16666666667,65.6,55.38,76.97,72.12,65.59
1999.25,65.66,54.94,77.74,73.48,65.41
1999.33333333333,66.2,55.95,77.26,73.25,65.93
1999.41666666667,66.18,54.91,77.89,76.13,66.1
1999.5,68.29,58.05,79.45,77.77,67.55
1999.58333333333,67.27,56.95,81.07,72.66,66.92
1999.66666666667,67.52,57.05,80.77,73.65,67.4
1999.75,69.08,57.83,82.43,76.15,68.39
1999.83333333333,69.63,58.53,82.24,77.16,69.27
1999.91666666667,67.81,56.74,84.58,69.58,67.93
2000,68.89,57.55,82.72,77.02,68.99
2000.08333333333,68.82,57.54,82.73,71.29,69.13
2000.16666666667,69.97,57.71,83.76,74.7,70.68
2000.25,70.49,58.38,84.69,74.73,70.7
2000.33333333333,70.82,58.46,85.04,77.07,71.28
2000.41666666667,71.51,59.87,84.47,77.54,71.42
2000.5,72.98,60.75,86.32,78.46,73.12
2000.58333333333,72.34,59.93,86.29,77.36,72.47
2000.66666666667,73.03,60.74,85.49,79.22,73.06
2000.75,73.3,60.47,87.53,76.38,73.91
2000.83333333333,73.49,59.98,86.86,79.27,73.9
2000.91666666667,75.09,61.25,89.39,80.52,75.45
2001,72.98,60.76,86.53,77.16,72.81
2001.08333333333,75.03,61.76,86.45,87.43,74.32
2001.16666666667,74.34,62.05,88.26,81.82,73.85
2001.25,73.23,63,87.21,78.19,72.94
2001.33333333333,74.81,63.34,86.84,81.51,74.54
2001.41666666667,74.61,63.72,88.53,79.46,74.09
2001.5,74.38,62.58,87.22,82.22,73.84
2001.58333333333,75.94,63.47,87.68,89.73,74.47
2001.66666666667,74.78,63.11,87.62,83.48,73.93
2001.75,73.95,63.46,86.72,81.65,73.37
2001.83333333333,73.43,63.15,86.69,79.51,72.85
2001.91666666667,74.38,64.8,86.12,80.87,73.86
2002,75.17,63.78,87.55,84.23,73.6
2002.08333333333,74.58,64.13,86.03,82.77,73.94
2002.16666666667,74.4,64.92,86.31,79.14,73.83
2002.25,75.84,64.29,86.95,85.47,74.79
2002.33333333333,75.58,65.44,85.65,82.42,74.27
2002.41666666667,74.51,63.7,86.83,80.77,73.88
2002.5,74.35,63.95,84.63,82.12,73.56
2002.58333333333,75.58,64.97,85.1,84.56,74.6
2002.66666666667,75.26,64.98,85.6,83.03,74.17
2002.75,75.09,65.34,84.32,82.31,73.9
2002.83333333333,75.33,64.86,85.3,82.69,74.38
2002.91666666667,75.06,65.24,82.36,88.49,72.32
2003,75.84,65.2,84.21,83.3,74.78
2003.08333333333,75.96,65.81,83.34,83.45,75.05
2003.16666666667,76.66,65.13,84.6,87.23,75.22
2003.25,76.13,66.13,82.48,84.06,75.68
2003.33333333333,74,65.05,82.33,80.83,73.01
2003.41666666667,74.89,65.51,81.55,83.74,73.91
2003.5,74.36,65.05,82.8,81.16,73.61
2003.58333333333,75.44,65.47,85.26,82.86,74.6
2003.66666666667,75.49,67.4,84.99,82.56,73.91
2003.75,75.95,66.11,83.92,84.04,75.3
2003.83333333333,75.36,64.68,83.67,84.05,74.46
2003.91666666667,77.02,66.79,84.36,88.44,75.66
2004,76.63,67.15,85.53,82.47,76.17
2004.08333333333,76.64,65.96,84.31,85.63,75.79
2004.16666666667,77.08,67.06,85.52,84.56,76.08
2004.25,76.87,67,85.59,82.96,76
2004.33333333333,76.58,64.7,85.71,85.07,75.54
2004.41666666667,77.91,67.37,85.37,85.48,76.82
2004.5,78.42,67.81,87.27,86.65,76.62
2004.58333333333,76.48,66.35,84.57,80.51,75.84
2004.66666666667,78.08,67.04,84.62,84.12,77.65
2004.75,78.39,66.69,86.8,84.51,77.37
2004.83333333333,78.39,68.22,85.43,83.76,77.42
2004.91666666667,77.93,66.71,86.08,84.88,76.77
2005,79.16,66.75,87.65,87.77,78.04
2005.08333333333,78.47,66.94,85.37,87.08,77.15
2005.16666666667,78.78,66.74,86.19,86.75,76.87
2005.25,79.1,66.06,86.31,88.62,77.86
2005.33333333333,79.53,66.75,85.68,93.62,77.63
2005.41666666667,79.71,66.41,86,91.65,77.87
2005.5,80.31,67.53,86.56,90.76,78.78
2005.58333333333,80.98,67.46,85.72,92.68,79.03
2005.66666666667,81.88,68.03,87.37,93.25,79.9
2005.75,80.45,67.8,85.34,89.67,78.35
2005.83333333333,83.95,69.15,88.06,101.82,80.78
2005.91666666667,81.25,67.96,88.08,90.16,80.43
2006,81.86,68.1,87.56,90,80.07
2006.08333333333,82.16,68.58,88.91,88.53,81.06
2006.16666666667,82.86,68.94,89.5,89.31,81.41
2006.25,83.82,68.85,89.81,95.91,81.9
2006.33333333333,84.61,69.46,91.29,93.61,83.61
2006.41666666667,84.95,70.25,91.16,96.83,82.78
2006.5,84.41,70.16,90.28,91,83.39
2006.58333333333,84.04,70.25,89.87,93.11,82.68
2006.66666666667,85.57,70.24,93.01,96.01,84.4
2006.75,86.33,70.7,92.75,96.43,86.05
2006.83333333333,85.79,71.16,93.01,94.76,85
2006.91666666667,86.01,71.7,93.33,94.01,86.47
2007,86.18,72.32,93.1,94.96,85.47
2007.08333333333,86.77,73.01,94.78,91.57,86.91
2007.16666666667,88.36,73,95.42,98.21,87.23
2007.25,88.29,74.11,94.47,99.54,87.09
2007.33333333333,88.9,74.57,95.74,96.44,88.72
2007.41666666667,89.43,74.9,95.15,98.77,88.79
2007.5,88.3,73.65,95.27,95.35,88.16
2007.58333333333,88.69,75.85,95.78,96.94,87.55
2007.66666666667,88.5,75.28,94.17,96.56,87.79
2007.75,90.99,76.54,97.07,98.19,90.11
2007.83333333333,88.99,76.17,95.55,91.54,87.07
2007.91666666667,89.26,76.46,95.23,96.43,88.5
2008,92.87,78.51,98.73,98.4,91.01
2008.08333333333,92.32,78.2,99.46,96.1,90.74
2008.16666666667,92.04,78.17,97.14,97.87,90.27
2008.25,92.43,77.91,99.16,98.54,91.34
2008.33333333333,90.66,77.74,97.44,95.11,88.81
2008.41666666667,92.91,78.56,98.77,97.31,90.14
2008.5,91.9,78.25,98.5,97.65,90.43
2008.58333333333,92.66,78.81,98.23,96.73,91.41
2008.66666666667,92.45,80.25,97.66,95.74,90.65
2008.75,90.22,77.84,96.18,92.6,88.43
2008.83333333333,88,77.77,94.8,90.91,85.03
2008.91666666667,86.36,78.44,92.71,91.75,84.25
2009,82.22,74.62,87.96,85.25,80.82
2009.08333333333,81.71,74.63,86.3,86.32,79.27
2009.16666666667,80.42,74,85.54,84.24,79.07
2009.25,80.77,74.86,83.44,83.57,78.64
2009.33333333333,81.03,74.77,83.37,85.11,78.71
2009.41666666667,81.18,74.93,83.48,87.45,78.35
2009.5,82.65,75.06,83.94,97.53,78.12
2009.58333333333,81.68,74.27,82.89,90.61,78.71
2009.66666666667,81.69,74.63,82.43,89.66,78.87
2009.75,82,74.31,82.79,90.61,79.29
2009.83333333333,83.02,75.12,84.63,91.38,80.49
2009.91666666667,82.73,75.11,83.81,90.94,79.9
2010,82.19,75.03,82.76,89.09,79.77
2010.08333333333,82.75,75.09,82.37,92.31,79.28
2010.16666666667,82.93,75.84,82.59,87.88,80.99
2010.25,84.76,75.47,84.32,94.85,80.58
