"time","ica_cz","ica_c1","ica_c3","ica_c4","ica_c5"
2012,92.2385,84.43507,90.99097,98.70767,88.67988
2012.08333333333,92.26984,84.55188,91.05177,98.59908,88.71777
2012.16666666667,92.15627,84.54489,90.83551,98.56497,88.64135
2012.25,92.20585,84.78289,90.73078,98.62675,88.70261
2012.33333333333,92.49288,85.21628,90.86696,98.99973,88.96038
2012.41666666667,92.0517,85.11382,90.38618,97.96326,88.48429
2012.5,91.93946,85.37513,90.33127,97.40441,88.2485
2012.58333333333,91.84386,85.68649,90.39551,96.69775,88.04826
2012.66666666667,91.65492,85.92192,90.48978,96.13134,87.73046
2012.75,91.4679,86.24182,90.52803,95.69872,87.44799
2012.83333333333,91.35784,86.40049,90.49125,95.94725,87.25624
2012.91666666667,91.4579,86.69434,90.54136,96.66225,87.21833
2013,91.48192,86.74183,90.50875,97.38784,87.08844
2013.08333333333,91.54843,86.75627,90.49505,98.1695,86.98998
2013.16666666667,91.60905,86.81456,90.45217,98.62199,86.89867
2013.25,91.60521,86.88429,90.46978,98.58967,86.88832
2013.33333333333,91.45873,86.88084,90.38929,98.24683,86.81409
2013.41666666667,91.28453,86.80542,90.22377,98.11369,86.74704
2013.5,91.17562,86.88614,90.12517,97.9093,86.84324
2013.58333333333,91.11074,86.84894,89.94175,97.88224,86.97548
2013.66666666667,91.06063,86.85812,89.78776,97.78885,87.07374
2013.75,91.04311,86.8583,89.59337,97.85522,87.16192
2013.83333333333,91.14446,86.96062,89.4269,97.91571,87.31494
2013.91666666667,91.10229,87.07228,89.18874,97.56066,87.32117
2014,91.12052,87.16693,88.95241,97.95491,87.21382
2014.08333333333,91.1496,87.26934,88.76537,98.67228,87.12177
2014.16666666667,91.11069,87.33608,88.67226,99.00623,87.00245
2014.25,91.02899,87.45645,88.64116,99.01418,86.93347
2014.33333333333,90.97091,87.44303,88.59826,99.3797,86.83761
2014.41666666667,90.83275,87.37595,88.67826,98.91627,86.83778
2014.5,90.58474,87.26962,88.67836,97.9417,86.78478
2014.58333333333,90.36733,87.1764,88.67565,97.25158,86.72486
2014.66666666667,90.0761,86.99461,88.47693,97.3337,86.51514
2014.75,89.94293,86.90827,88.37622,98.10412,86.33197
2014.83333333333,89.88201,86.87756,88.32614,99.34692,86.22132
2014.91666666667,89.85559,86.89241,88.33037,100.53789,86.11305
2015,90.16022,87.01545,88.57269,102.92232,86.1541
2015.08333333333,90.52512,87.09107,88.96947,105.04262,86.26045
2015.16666666667,90.72608,87.10393,89.55878,105.89495,86.32673
2015.25,91.03408,87.18829,90.03377,107.37131,86.44407
2015.33333333333,91.12118,87.1564,90.49297,108.01302,86.47588
2015.41666666667,91.09286,87.09458,90.66545,108.70223,86.44598
2015.5,90.90811,87.11289,90.68743,108.19616,86.43831
2015.58333333333,90.67003,87.08962,90.60931,107.83482,86.43187
2015.66666666667,90.5158,87.13957,90.61264,107.43792,86.52666
2015.75,90.37673,87.21663,90.65944,107.15187,86.56101
2015.83333333333,90.24047,87.25087,90.7532,106.89653,86.60147
2015.91666666667,90.02718,87.16135,90.91707,106.42867,86.57313
2016,89.93011,87.06516,91.01084,107.29466,86.42985
2016.08333333333,89.6533,86.81623,90.99702,107.5156,86.12379
2016.16666666667,89.43381,86.58113,90.70921,108.32146,85.71574
