"time","ica_cz","ica_c1","ica_c3","ica_c4","ica_c5"
2012,92.4943464052288,84.3298692810458,91.4174183006536,99.0286437908497,88.8550163398693
2012.08333333333,92.3347875,84.41465,91.2255875,98.8352125,88.751675
2012.16666666667,92.2782158119658,84.5837606837607,90.9711538461538,98.7904807692308,88.7512179487179
2012.25,92.2221036889332,84.7747856430708,90.7332402791625,98.7154835493519,88.708923230309
2012.33333333333,92.2246905222437,84.9697195357834,90.5852030947776,98.7553868471954,88.690667311412
2012.41666666667,92.0612950340798,85.1202629016553,90.3776533592989,98.0247419668939,88.4807984420642
2012.5,91.95079,85.38113,90.32263,97.46679,88.24714
2012.58333333333,91.85672,85.69265,90.38618,96.76003,88.04759
2012.66666666667,91.66892,85.92833,90.48009,96.19389,87.73015
2012.75,91.48295,86.24865,90.51769,95.76026,87.44806
2012.83333333333,91.37363,86.40724,90.48091,96.00827,87.25651
2012.91666666667,91.47336,86.70053,90.53167,96.72323,87.21833
2013,91.49683,86.74692,90.49942,97.44882,87.08844
2013.08333333333,91.56227,86.76013,90.48641,98.23052,86.98998
2013.16666666667,91.622,86.81746,90.44378,98.68353,86.89867
2013.25,91.61706,86.88656,90.46168,98.65195,86.88859
2013.33333333333,91.46968,86.88253,90.38141,98.30904,86.81416
2013.41666666667,91.29524,86.80707,90.21584,98.17665,86.74673
2013.5,91.18633,86.88797,90.1178,97.97283,86.84257
2013.58333333333,91.12196,86.85052,89.93561,97.94682,86.97412
2013.66666666667,91.07228,86.86039,89.78221,97.85363,87.07186
2013.75,91.05595,86.86131,89.58824,97.92036,87.15968
2013.83333333333,91.15801,86.96484,89.42199,97.98081,87.31306
2013.91666666667,91.11593,87.07769,89.18392,97.62488,87.31981
2014,91.13472,87.17266,88.94761,98.01823,87.21315
2014.08333333333,91.16398,87.27455,88.76088,98.73487,87.12146
2014.16666666667,91.12462,87.33992,88.66807,99.06871,87.00252
2014.25,91.04229,87.4591,88.6372,99.07545,86.93374
2014.33333333333,90.98443,87.44461,88.59367,99.44072,86.83761
2014.41666666667,90.8465,87.37728,88.6719,98.97725,86.83778
2014.5,90.599,87.27116,88.6707,98.00241,86.78478
2014.58333333333,90.38253,87.17837,88.66656,97.31253,86.72513
2014.66666666667,90.09198,86.99649,88.46663,97.39528,86.51521
2014.75,89.95924,86.90936,88.36554,98.16727,86.33166
2014.83333333333,89.89742,86.87789,88.31584,99.41114,86.22065
2014.91666666667,89.86923,86.89269,88.32101,100.60262,86.11169
2015,90.17229,87.01629,88.56496,102.98806,86.15249
2015.08333333333,90.53596,87.09287,88.96342,105.10948,86.25828
2015.16666666667,90.73636,87.10777,89.55459,105.96174,86.32454
2015.25,91.04441,87.19408,90.03137,107.438,86.44204
2015.33333333333,91.132,87.1628,90.49131,108.08045,86.47385
2015.41666666667,91.1044,87.10108,90.66363,108.77041,86.44379
2015.5,90.92059,87.11865,90.68462,108.2642,86.43614
2015.58333333333,90.68289,87.09484,90.60536,107.90265,86.43026
2015.66666666667,90.52919,87.14463,90.60764,107.5058,86.5253
2015.75,90.39064,87.22218,90.65336,107.2198,86.56034
2015.83333333333,90.25463,87.25735,90.74685,106.96418,86.60116
2015.91666666667,90.04116,87.16875,90.91106,106.49585,86.5732
2016,89.94312,87.07245,91.00553,107.36312,86.43012
2016.08333333333,89.66593,86.82184,90.9924,107.58458,86.12379
2016.16666666667,89.44646,86.58501,90.70477,108.39048,85.71574
2016.25,89.43771,86.45112,90.50165,109.64553,85.42484
2016.33333333333,89.42085,86.49061,90.22514,110.35142,85.11614
2016.41666666667,89.62554,86.84639,90.0774,110.75135,85.07695
2016.5,90.07739,87.36734,90.02985,111.61686,85.25829
2016.58333333333,90.63577,87.85323,90.19853,112.78226,85.562
2016.66666666667,91.20174,88.33558,90.58813,113.08263,86.04585
2016.75,92.05361,88.65261,91.00813,115.54707,86.53394
2016.83333333333,92.88876,88.80802,91.53065,117.7715,87.11962
2016.91666666667,93.67071,88.96511,91.98247,119.76031,87.68102
2017,94.35528,89.15962,92.49153,121.21685,88.27378
2017.08333333333,94.90857,89.52748,92.90882,121.74786,88.92343
2017.16666666667,95.38582,89.99144,93.46162,122.0147,89.62608
2017.25,95.60145,90.45504,93.93401,121.24946,90.19972
2017.33333333333,95.76006,90.89298,94.52491,120.34336,90.68017
2017.41666666667,95.90722,91.30439,95.0599,119.43315,91.06197
2017.5,96.39346,91.58861,95.67185,120.7539,91.40208
2017.58333333333,96.8213,91.77483,96.13683,121.34687,91.6837
2017.66666666667,97.42096,91.90022,96.48312,122.6485,92.01372
2017.75,98.10945,91.91627,96.6601,124.89605,92.35675
2017.83333333333,98.64379,91.86285,96.5679,126.52338,92.66577
2017.91666666667,98.83852,91.85091,96.26831,126.75918,92.82209
2018,98.80778,91.89308,95.74311,126.08063,92.85568
