"time","ipi_cz","ipi_c1","ipi_c3","ipi_c4","ipi_c5"
1990,96.55,86.88,95.47,94.37,99.65
1990.08333333333,99.1,92.01,103.52,93.69,100.59
1990.16666666667,98,91.52,96.54,93.72,100.98
1990.25,97.4,92.53,96.54,91.52,100.11
1990.33333333333,98.36,95.13,98.19,89.55,100.99
1990.41666666667,96.34,91.26,91.58,90.5,100.21
1990.5,96.5,91.46,94.6,89.48,99.7
1990.58333333333,95.81,93.19,93.71,85.83,99.11
1990.66666666667,96.43,89.6,96.82,86.02,100.13
1990.75,96.53,90.63,94.92,87.48,100.41
1990.83333333333,94.59,89.77,90.97,85.58,98.79
1990.91666666667,95.15,90.07,91.96,86.6,99.17
1991,97.22,95.61,94.91,87.45,100.21
1991.08333333333,95.57,94.26,94.86,84.94,98.09
1991.16666666667,96,92.74,94.71,85.72,99.25
1991.25,95.26,94.2,92.61,84.57,98.41
1991.33333333333,94.13,91.57,90.74,84.88,97.74
1991.41666666667,95.63,90.9,91.84,86.7,99.71
1991.5,93.85,91.52,89.5,85.05,97.5
1991.58333333333,95.24,91.74,91.45,88.86,98.47
1991.66666666667,95.69,92.99,90.22,89.23,99.33
1991.75,94.67,91.19,91.34,86.82,98.34
1991.83333333333,96.04,92.54,92.55,87.99,99.49
1991.91666666667,94.96,91.6,85.64,88.3,100.04
1992,95.39,92.09,91.01,88.34,98.98
1992.08333333333,94.76,92.16,87.91,87.82,98.92
1992.16666666667,95.7,92.83,90.63,87.43,99.62
1992.25,94.8,92.95,89.52,85.33,98.76
1992.33333333333,95.05,94.23,90.98,84.66,98.65
1992.41666666667,93.92,93.25,89.53,84.37,97.45
1992.5,93.4,92.21,88.78,83.38,97.17
1992.58333333333,93.71,89.39,89.97,84.66,97.79
1992.66666666667,92.22,90.96,85.4,84.03,96.41
1992.75,92.57,90.52,86.72,84.62,96.52
1992.83333333333,92.06,90.88,87.16,82.75,95.86
1992.91666666667,90.51,91.46,88.22,77.43,93.71
1993,90.73,89.5,86.3,78.77,94.87
1993.08333333333,89.93,90.94,84.02,77.96,93.95
1993.16666666667,89.5,90.69,83.06,76.42,93.89
1993.25,89.49,90.41,85.14,76.56,93.24
1993.33333333333,89.15,88.1,84.46,78.83,92.73
1993.41666666667,88.21,89.61,83.39,74.43,92.06
1993.5,89.69,89.87,85.84,74.79,93.81
1993.58333333333,88.92,90.72,84.68,76.38,92.15
1993.66666666667,89.24,93.68,85.95,72.04,92.54
1993.75,89.74,91.02,89.89,71.53,92.98
1993.83333333333,87.96,90.14,79.82,72.22,93.14
1993.91666666667,88.28,89.14,81.79,72.28,93.32
1994,90.15,90.28,83.92,74.4,95.46
1994.08333333333,89.72,87.97,86.15,75.61,94.18
1994.16666666667,90.3,90.02,84.26,75.37,95.26
1994.25,91.64,88.73,84.88,82.92,96.08
1994.33333333333,92.46,89.11,85.9,81.32,97.66
1994.41666666667,92.79,89.87,88.99,81.19,97.23
1994.5,93.82,93.16,88.27,83.96,97.8
1994.58333333333,94.34,97.52,86.29,81.31,98.75
1994.66666666667,93.95,91.09,88.22,83.4,98.55
1994.75,95.17,90.96,90.43,85.07,99.71
1994.83333333333,96.68,93.06,91.48,86.16,101.31
1994.91666666667,96.23,92.4,91.03,83.22,101.64
1995,96.44,92.16,91.59,87,100.9
1995.08333333333,96.83,92.54,93.29,90.37,100.18
1995.16666666667,96.18,91.13,92.43,87.02,100.41
1995.25,96.45,92.66,94.03,85.73,100.33
1995.33333333333,95.82,93.51,92.18,85.28,99.61
1995.41666666667,96.6,94.35,92.94,85.01,100.47
1995.5,97.04,92.93,96.12,84.94,100.7
1995.58333333333,96.23,93.19,95.25,84.99,99.39
1995.66666666667,96.82,93.6,96.61,83.43,100.26
1995.75,95.69,94.05,94.84,85.49,98.29
1995.83333333333,94.78,92.85,94.25,85.72,97.08
1995.91666666667,97.14,92.73,99.68,87.91,99.03
1996,96.07,93.74,92.67,89.25,98.75
1996.08333333333,95.37,94.36,94.46,84.18,97.89
1996.16666666667,96.41,93.62,95.23,87.33,98.97
1996.25,95.84,93.67,94.47,88.09,98.09
1996.33333333333,97.34,96.89,95.33,90.63,99.11
1996.41666666667,96.94,93.85,96.67,89.36,99.05
1996.5,94.92,94.2,93.68,83.48,97.59
1996.58333333333,97.57,94.52,94.16,93.18,99.99
1996.66666666667,97.33,94.71,95.05,89.91,99.94
1996.75,96.37,94.41,94.69,87.74,98.75
1996.83333333333,97.63,94.34,96.7,88.58,100.23
1996.91666666667,97.5,97.71,93.67,89.73,100.12
1997,96.59,93.98,95.33,89.38,98.62
1997.08333333333,98.35,95.15,94.96,91.72,101.17
1997.16666666667,99.47,94.93,98.86,93.25,101.76
1997.25,102.45,98.27,105.23,95.26,103.81
1997.33333333333,100.25,96.45,99.18,94.78,102.24
1997.41666666667,101.01,96.04,100.34,98.05,102.43
1997.5,101.16,93.87,100.66,100.76,102.73
1997.58333333333,105.38,97.31,110.69,104.13,105.54
1997.66666666667,102.95,98.43,101.81,103.34,103.81
1997.75,105.66,100.02,104.55,104.22,107.26
1997.83333333333,103.37,98,103.65,102.46,104.2
1997.91666666667,105.53,101,104.65,101.83,107.24
1998,105.64,100.24,104.58,106.27,106.61
1998.08333333333,106.2,99.11,107.3,106.09,107.14
1998.16666666667,104.61,98.95,102.81,100.85,106.55
1998.25,105.87,97.07,106.55,108.65,106.61
1998.33333333333,107.5,97.3,109.61,109.12,108.49
1998.41666666667,106.75,97.15,106.58,111.76,107.54
1998.5,107.87,98.97,108.58,111.91,108.37
1998.58333333333,105.15,95.94,106.17,105.69,106.43
1998.66666666667,106.96,95.66,106.91,115.29,107.43
1998.75,106.54,96.91,105.88,113.24,107.14
1998.83333333333,106.92,94.74,106.58,115.78,107.77
