"time","ipi_cz","ipi_c1","ipi_c3","ipi_c4","ipi_c5"
2012,103.09346,100.27101,104.52582,119.4135,99.28421
2012.08333333333,103.18989,100.45837,104.42723,119.44959,99.43546
2012.16666666667,103.07383,100.48731,104.10243,119.11792,99.39553
2012.25,103.07211,100.72209,103.74568,118.48032,99.55176
2012.33333333333,103.24467,101.10838,103.67767,117.93262,99.84293
2012.41666666667,102.7481,100.83213,102.95888,116.60031,99.46287
2012.5,102.62712,100.91444,102.50391,116.14225,99.40188
2012.58333333333,102.42103,100.96363,102.16702,115.57837,99.21211
2012.66666666667,101.98831,100.96415,101.49003,114.82752,98.79959
2012.75,101.57266,100.96972,100.91142,114.29149,98.35594
2012.83333333333,101.24898,100.75065,100.87941,113.91618,97.9637
2012.91666666667,101.21626,100.67301,101.28125,114.13055,97.79367
2013,101.3266,100.29046,101.98618,114.84912,97.74634
2013.08333333333,101.66443,99.81918,103.05127,116.27417,97.85697
2013.16666666667,102.07043,99.46309,103.79836,117.96831,98.07927
2013.25,102.34996,99.08515,103.95621,119.64438,98.26141
2013.33333333333,102.33369,98.63557,103.83698,120.41368,98.23594
2013.41666666667,102.15405,98.23936,103.30734,121.11267,98.05447
2013.5,101.9583,98.20522,102.89743,121.35792,97.84753
2013.58333333333,101.73013,98.22638,102.56604,121.56344,97.57446
2013.66666666667,101.69977,98.51431,102.48284,122.14545,97.41807
2013.75,101.78153,98.76492,102.76893,122.65491,97.37394
2013.83333333333,102.02007,99.12182,103.03923,123.25641,97.51341
2013.91666666667,102.138,99.48985,102.97616,123.13099,97.65666
2014,102.17335,99.46621,102.85586,123.01091,97.75643
2014.08333333333,102.24259,99.50662,102.8296,122.8376,97.89679
2014.16666666667,102.06785,99.40181,102.17939,122.7365,97.79238
2014.25,101.91408,99.31741,101.60632,122.81203,97.68372
2014.33333333333,101.77231,99.1696,100.99876,123.45188,97.51016
2014.41666666667,101.64156,99.03891,100.21257,123.95351,97.40409
2014.5,101.54484,98.91019,99.92133,123.8919,97.33889
2014.58333333333,101.43239,98.8311,99.55225,123.48749,97.30135
2014.66666666667,101.33058,98.72338,99.47385,122.72938,97.29624
2014.75,101.34744,98.57598,99.71599,122.47863,97.31144
2014.83333333333,101.45786,98.58392,99.99514,122.35716,97.4117
2014.91666666667,101.63094,98.59062,100.1852,122.874,97.52282
2015,101.99102,98.79804,100.65123,123.90699,97.74049
2015.08333333333,102.32121,99.08457,101.02868,124.81816,97.94909
2015.16666666667,102.48488,99.37163,101.13756,125.0543,98.09983
2015.25,102.73263,99.77719,101.82086,125.38304,98.2384
2015.33333333333,102.88119,100.09135,102.27684,125.80152,98.26569
