"time","ivv_commerce","ivv_45","ivv_46","ivv_47"
2012,83.5192810457516,80.8249346405229,87.4466176470588,77.3997385620915
2012.08333333333,83.525375,80.7086,87.445875,77.4640625
2012.16666666667,83.5620405982906,80.5121260683761,87.5380341880342,77.4993696581197
2012.25,83.5821535393818,80.2911665004985,87.6169790628116,77.5145164506481
2012.33333333333,83.6863829787234,80.0454835589942,87.795415860735,77.6300967117989
2012.41666666667,83.7235150925024,79.6376728334956,87.8801460564752,77.7617137293087
2012.5,83.7337,79.24225,87.9067,77.90389
2012.58333333333,83.66994,78.93993,87.83483,77.94943
2012.66666666667,83.56732,78.66394,87.6604,78.03524
2012.75,83.44735,78.52169,87.42357,78.12388
2012.83333333333,83.26148,78.25056,87.13018,78.15615
2012.91666666667,83.22395,78.08566,87.0397,78.25829
2013,83.20341,77.91604,86.96573,78.38359
2013.08333333333,83.21632,77.6534,86.96223,78.5339
2013.16666666667,83.27953,77.3928,87.04426,78.69316
2013.25,83.40992,77.48461,87.16896,78.84468
2013.33333333333,83.51484,77.55874,87.25571,78.99186
2013.41666666667,83.5911,77.68924,87.27321,79.14897
2013.5,83.7733,78.15844,87.3986,79.30996
2013.58333333333,83.97489,78.62951,87.55745,79.47111
2013.66666666667,84.17461,79.02359,87.75938,79.58258
2013.75,84.3514,79.30181,87.96573,79.66232
2013.83333333333,84.53476,79.37741,88.21514,79.77321
2013.91666666667,84.62961,79.29027,88.37318,79.82998
2014,84.61039,78.95237,88.39747,79.86962
2014.08333333333,84.55569,78.53325,88.37901,79.90324
2014.16666666667,84.50812,78.37542,88.27658,80.00252
2014.25,84.52647,78.45335,88.25136,80.07311
2014.33333333333,84.52556,78.53162,88.17676,80.17365
2014.41666666667,84.6547,78.89575,88.24717,80.31105
2014.5,84.76209,79.35399,88.24679,80.46623
2014.58333333333,84.89742,79.70726,88.27988,80.6975
2014.66666666667,84.97627,79.94021,88.24676,80.91603
2014.75,85.03093,80.17163,88.16642,81.14371
2014.83333333333,85.11586,80.39535,88.14283,81.36748
2014.91666666667,85.21318,80.66344,88.10368,81.63949
2015,85.41009,80.91211,88.24767,81.90774
2015.08333333333,85.62508,81.27537,88.42556,82.12436
2015.16666666667,85.89387,81.76531,88.63123,82.41205
2015.25,86.17708,82.21776,88.82107,82.79299
2015.33333333333,86.44265,82.76113,88.92847,83.23216
2015.41666666667,86.58417,83.29709,88.89606,83.52847
2015.5,86.65807,83.66909,88.80124,83.78675
2015.58333333333,86.764,84.00687,88.75839,84.06668
2015.66666666667,86.89127,84.38068,88.80973,84.22445
2015.75,87.09043,84.62287,89.0379,84.34921
2015.83333333333,87.41718,85.04501,89.43305,84.50427
2015.91666666667,87.85707,85.59456,89.89209,84.85867
2016,88.27775,86.33617,90.31006,85.14544
2016.08333333333,88.55906,86.89492,90.54751,85.39003
2016.16666666667,88.65212,87.29279,90.55328,85.51472
2016.25,88.62585,87.60211,90.38531,85.60387
2016.33333333333,88.47932,87.69673,90.06522,85.67301
2016.41666666667,88.35255,87.84459,89.81341,85.65564
2016.5,88.37748,88.05388,89.74932,85.76189
2016.58333333333,88.53572,88.6344,89.78905,85.95299
2016.66666666667,88.8299,89.29979,90.00951,86.22086
2016.75,89.21967,90.09228,90.34489,86.53783
2016.83333333333,89.62652,90.80102,90.72817,86.85804
2016.91666666667,89.99361,91.43849,91.02635,87.23496
2017,90.33124,92.05852,91.30107,87.56418
2017.08333333333,90.69418,92.50857,91.6343,87.94248
2017.16666666667,91.07031,93.10075,92.04091,88.16732
2017.25,91.44832,93.58405,92.45284,88.43518
2017.33333333333,91.83394,94.18193,92.86467,88.68174
2017.41666666667,92.1625,94.68411,93.26065,88.81312
2017.5,92.5982,95.40921,93.69268,89.13131
2017.58333333333,92.86387,96.02997,93.90181,89.34699
2017.66666666667,93.12478,96.64531,94.02741,89.70183
2017.75,93.347,97.32515,94.09554,90.01074
2017.83333333333,93.51119,97.77466,94.07797,90.38583
2017.91666666667,93.63593,98.19399,94.05328,90.65552
2018,93.77409,98.4384,94.08516,90.9372
2018.08333333333,93.90002,98.74604,94.12772,91.13026
2018.16666666667,94.08357,98.96487,94.31924,91.27147
2018.25,94.31282,99.21983,94.56903,91.44068
2018.33333333333,94.43454,99.32769,94.72835,91.49454
2018.41666666667,94.56298,99.34292,94.88365,91.62453
2018.5,94.60609,99.05392,94.98629,91.71468
2018.58333333333,94.61254,98.56233,95.09577,91.75969
2018.66666666667,94.65002,98.21359,95.1852,91.88158
2018.75,94.75159,97.94292,95.35955,92.01821
2018.83333333333,94.87089,97.92231,95.4951,92.17153
2018.91666666667,95.19075,98.32284,95.84629,92.38794
2019,95.57247,99.13382,96.16882,92.67787
2019.08333333333,95.98479,100.03517,96.54096,92.93291
2019.16666666667,96.42559,100.90826,96.97935,93.16968
2019.25,96.77931,101.52029,97.35045,93.36399
2019.33333333333,97.0779,102.05956,97.67617,93.49536
2019.41666666667,97.25884,102.34107,97.85078,93.64341
2019.5,97.33771,102.38588,97.93713,93.72519
2019.58333333333,97.42972,102.49027,97.97958,93.91165
2019.66666666667,98.01556,103.86734,98.35403,94.53428
2019.75,98.61112,104.8825,98.77952,95.26366
2019.83333333333,97.60313,102.15123,98.0972,94.44622
2019.91666666667,95.45234,96.69976,96.50919,92.77725
2020,92.45763,89.11259,94.25573,90.53762
2020.08333333333,88.68478,80.41156,91.39849,87.33895
2020.16666666667,85.51486,73.40201,88.80731,84.87996
2020.25,84.42205,71.96364,87.61162,84.1551
2020.33333333333,86.57811,78.10748,88.71192,86.46492
2020.41666666667,90.1377,87.78469,91.09403,89.39107
2020.5,93.68001,96.72846,93.61338,92.33964
2020.58333333333,96.3462,102.82992,95.5988,94.68847
2020.66666666667,97.92085,105.8554,97.04035,95.82511
2020.75,98.22217,104.90609,97.59761,96.2279
2020.83333333333,97.23428,101.36833,97.28584,95.14257
2020.91666666667,97.04613,99.40437,97.22995,95.55212
2021,97.36735,99.02947,97.63675,96.04327
2021.08333333333,97.92653,99.45494,98.18707,96.68612
2021.16666666667,98.34384,99.66202,98.64395,97.1272
2021.25,98.87591,99.97462,99.11279,97.88849
2021.33333333333,99.50207,100.25253,99.60201,98.95316
2021.41666666667,99.86796,99.90246,100.06006,99.48418
2021.5,100.38536,99.75826,100.3978,100.6751
2021.58333333333,100.74529,99.80503,100.62986,101.43858
2021.66666666667,101.04373,99.7095,100.84159,102.09656
2021.75,101.4341,99.90587,101.21566,102.6102
2021.83333333333,101.67526,99.84246,101.58906,102.73498
2021.91666666667,101.854,99.59533,101.84614,102.96023
2022,102.13708,99.34364,102.2765,103.2106
2022.08333333333,102.20375,98.52437,102.50839,103.37895
2022.16666666667,102.08509,97.732,102.48023,103.40767
2022.25,101.8863,97.20805,102.2402,103.44885
2022.33333333333,101.68904,97.17868,101.91237,103.42732
2022.41666666667,101.66108,97.6574,101.81015,103.30139
2022.5,101.70906,98.58713,101.70961,103.21526
2022.58333333333,101.87744,99.80233,101.74306,103.14439
2022.66666666667,102.0788,100.9259,101.86669,103.05308
2022.75,102.18684,101.90558,101.90338,102.88226
2022.83333333333,101.98005,102.44987,101.57955,102.54349
2022.91666666667,101.563,103.00758,100.91323,102.14586
2023,101.18564,103.76145,100.26859,101.74727
2023.08333333333,100.72066,104.35985,99.49986,101.36413
2023.16666666667,100.50114,105.29075,99.0417,101.05892
2023.25,100.49407,106.31375,98.84263,100.93259
2023.33333333333,100.74976,107.45689,99.01969,100.91735
2023.41666666667,101.00971,108.29127,99.27108,100.92227
2023.5,101.2451,109.08472,99.45084,101.00287
2023.58333333333,101.2841,109.40889,99.44942,100.98784
2023.66666666667,101.32647,109.53204,99.40681,101.16118
2023.75,101.35144,109.47681,99.33942,101.40704
2023.83333333333,101.30677,108.96356,99.23773,101.69837
2023.91666666667,101.48096,108.58232,99.47515,102.01306
2024,101.56048,107.92814,99.63424,102.28698
2024.08333333333,101.56743,107.23494,99.74588,102.42218
2024.16666666667,101.38738,106.41475,99.61355,102.45411
2024.25,101.15665,105.72435,99.3374,102.53221
2024.33333333333,100.7568,104.9347,98.77531,102.63856
2024.41666666667,100.42308,104.37819,98.16905,102.94705
2024.5,100.20547,104.0642,97.66451,103.33965
2024.58333333333,100.09062,103.82254,97.29394,103.78895
2024.66666666667,100.07751,103.75629,97.10504,104.14843
2024.75,100.06027,103.70945,96.99319,104.33168
2024.83333333333,100.16341,103.6706,97.11732,104.46309
2024.91666666667,100.29902,103.57589,97.30044,104.61792
2025,100.44166,103.32909,97.53529,104.76785
2025.08333333333,100.61604,103.15386,97.79095,104.95159
2025.16666666667,100.87218,103.06532,98.09127,105.28607
2025.25,101.13521,103.07494,98.39547,105.59153
2025.33333333333,101.34757,103.21664,98.58836,105.87561
2025.41666666667,101.565170399221,103.563758519961,98.718899707887,106.201996105161
2025.5,101.720918762089,103.976595744681,98.7469632495164,106.484410058027
2025.58333333333,101.866131605184,104.330089730808,98.7721136590229,106.766051844467
2025.66666666667,101.921965811966,104.577115384615,98.6851602564103,107.010299145299
2025.75,101.9658875,104.7445,98.6106875,107.2270375
2025.83333333333,101.970604575163,104.857532679739,98.4900490196079,107.426405228758
